y,U_0,U_1,U_2
-0.00221611,1.91465e-10,7.98118e-08,0.0472273
-0.00210833,3.553e-10,3.37572e-07,0.139573
-0.00200056,3.16377e-10,8.09206e-07,0.227604
-0.00189278,3.38503e-10,1.48835e-06,0.311327
-0.001785,4.25303e-10,2.32887e-06,0.390973
-0.00172995,4.79451e-10,2.79483e-06,0.43061
-0.00167606,5.14997e-10,3.29884e-06,0.467642
-0.00156944,5.50374e-10,4.32222e-06,0.539329
-0.00146167,5.45993e-10,5.38342e-06,0.608983
-0.00135389,4.86743e-10,6.46477e-06,0.679585
-0.00122472,3.05948e-10,7.54443e-06,0.755987
-0.0010718,9.1361e-11,8.39933e-06,0.832558
-0.000914483,-5.34175e-11,8.75427e-06,0.89999
-0.00075341,-1.19629e-10,8.47887e-06,0.956091
-0.000589235,-1.60503e-10,7.52977e-06,1.00098
-0.000422629,-2.13574e-10,5.93467e-06,1.0347
-0.00027871,-1.94315e-10,4.1428e-06,1.05476
-0.000194185,-1.36719e-10,2.9596e-06,1.06321
-8.48764e-05,-3.00353e-11,1.30874e-06,1.06847
1.93761e-05,6.31163e-11,-2.9891e-07,1.07064
0.000104252,7.6767e-11,-1.60777e-06,1.06782
0.000184627,7.31162e-11,-2.82604e-06,1.06416
0.000269152,-7.49524e-12,-4.00923e-06,1.05572
0.000422629,-8.43886e-11,-5.93482e-06,1.0347
0.000589235,-1.94018e-10,-7.5297e-06,1.00098
0.00075341,-3.43761e-10,-8.4785e-06,0.956091
0.000914483,-2.728e-10,-8.7537e-06,0.89999
0.0010718,-1.85505e-11,-8.39881e-06,0.832558
0.00122472,2.69673e-10,-7.54411e-06,0.755987
0.00135389,5.64989e-10,-6.46453e-06,0.679585
0.00146167,7.98464e-10,-5.3832e-06,0.608983
0.00156944,9.25698e-10,-4.32217e-06,0.539329
0.00167722,9.44454e-10,-3.28799e-06,0.466841
0.001785,8.96157e-10,-2.32887e-06,0.390973
0.00189278,8.28471e-10,-1.48836e-06,0.311327
0.00200056,7.53048e-10,-8.09309e-07,0.227604
0.00210833,6.55636e-10,-3.37745e-07,0.139573
