y,U_0,U_1,U_2
-0.00221611,-2.98509e-11,1.09075e-07,0.0472325
-0.00210833,-1.22249e-10,4.60728e-07,0.139587
-0.00200056,-2.24786e-10,1.1033e-06,0.227626
-0.00189278,-3.03093e-10,2.02818e-06,0.311354
-0.00179443,-3.71577e-10,3.06438e-06,0.384208
-0.00174054,-4.0814e-10,3.6841e-06,0.423045
-0.00167722,-4.47289e-10,4.47882e-06,0.466871
-0.00156944,-5.23501e-10,5.88679e-06,0.539357
-0.00146167,-6.12701e-10,7.33081e-06,0.609005
-0.00135389,-6.90528e-10,8.80203e-06,0.679597
-0.00122472,-7.42984e-10,1.0271e-05,0.755984
-0.0010718,-8.016e-10,1.1434e-05,0.832535
-0.000914483,-8.93491e-10,1.19167e-05,0.899943
-0.00075341,-9.43121e-10,1.15416e-05,0.956018
-0.000589235,-9.27602e-10,1.02495e-05,1.00089
-0.000422629,-9.31172e-10,8.07819e-06,1.03458
-0.000298544,-9.37332e-10,6.01718e-06,1.05265
-0.000214019,-9.18619e-10,4.40677e-06,1.06109
-8.48764e-05,-8.68784e-10,1.78188e-06,1.06832
2.43648e-05,-8.37747e-10,-5.11091e-07,1.07033
0.000109241,-8.69088e-10,-2.29274e-06,1.06752
0.000194248,-9.06985e-10,-4.02972e-06,1.06306
0.000278774,-9.6065e-10,-5.64041e-06,1.05462
0.000422629,-1.01697e-09,-8.07849e-06,1.03458
0.000589235,-9.70151e-10,-1.025e-05,1.00089
0.00075341,-8.47759e-10,-1.15423e-05,0.956018
0.000914483,-8.0297e-10,-1.19176e-05,0.899943
0.0010718,-7.92181e-10,-1.1435e-05,0.832535
0.00122472,-7.06306e-10,-1.02718e-05,0.755984
0.00135389,-5.79871e-10,-8.80261e-06,0.679597
0.00146167,-4.72135e-10,-7.33108e-06,0.609005
0.00156944,-3.59285e-10,-5.88692e-06,0.539357
0.00167722,-2.29576e-10,-4.47891e-06,0.466871
0.001785,-1.48397e-10,-3.17292e-06,0.391003
0.00189278,-1.26907e-10,-2.02843e-06,0.311354
0.00200056,-1.4747e-10,-1.1036e-06,0.227626
0.00210833,-1.54664e-10,-4.60907e-07,0.139587
0.00221611,-7.01613e-11,-1.09122e-07,0.0472325
