y,U_0,U_1,U_2
-0.00221611,2.43762e-10,3.73818e-07,0.04728
-0.00210833,5.13329e-10,1.57917e-06,0.139721
-0.00200056,5.54134e-10,3.78201e-06,0.227829
-0.00189278,5.76756e-10,6.95285e-06,0.311605
-0.00178589,5.81913e-10,1.0842e-05,0.390639
-0.001732,5.79406e-10,1.29667e-05,0.429483
-0.00167722,5.59663e-10,1.5355e-05,0.467151
-0.00156944,5.23102e-10,2.0183e-05,0.539613
-0.00146167,5.08755e-10,2.51352e-05,0.609209
-0.00135389,4.86321e-10,3.01815e-05,0.679713
-0.00122472,4.06596e-10,3.5221e-05,0.755963
-0.0010718,2.78903e-10,3.92123e-05,0.832325
-0.000914483,1.57984e-10,4.08697e-05,0.899514
-0.00075341,1.7765e-10,3.95845e-05,0.955357
-0.000589235,3.00227e-10,3.51542e-05,1
-0.000422629,3.08934e-10,2.7708e-05,1.0335
-0.000285627,2.3829e-10,1.97946e-05,1.05273
-0.000201101,1.9943e-10,1.42706e-05,1.06111
-8.48764e-05,1.74384e-10,6.11079e-06,1.06702
1.34933e-05,1.60766e-10,-9.71778e-07,1.06937
9.83697e-05,1.41992e-10,-7.08278e-06,1.06657
0.000194479,1.28242e-10,-1.38382e-05,1.06177
0.000279005,1.35211e-10,-1.93621e-05,1.05339
0.000422629,1.70123e-10,-2.77081e-05,1.0335
0.000589235,1.1817e-10,-3.51544e-05,1
0.00075341,-8.40098e-11,-3.95849e-05,0.955357
0.000914483,-2.45372e-10,-4.08702e-05,0.899514
0.0010718,-2.94452e-10,-3.92128e-05,0.832325
0.00122472,-2.87838e-10,-3.52216e-05,0.755963
0.00135389,-2.34807e-10,-3.01821e-05,0.679713
0.00146167,-1.40095e-10,-2.51356e-05,0.609209
0.00156944,-4.19369e-11,-2.01833e-05,0.539613
0.00167722,1.48556e-11,-1.53553e-05,0.467151
0.001785,3.85545e-11,-1.08773e-05,0.39128
0.00189278,6.18011e-11,-6.95296e-06,0.311605
0.00200056,8.14961e-11,-3.78208e-06,0.227829
0.00210833,7.81718e-11,-1.57924e-06,0.139721
