y,U_0,U_1,U_2
-0.00220071,-5e-13,2.83354e-06,0.0623963
-0.00206214,-5e-12,1.64273e-05,0.180472
-0.00192357,-1e-11,4.44811e-05,0.290907
-0.00183056,-1.95906e-11,7.07925e-05,0.360177
-0.00176128,-2.36393e-11,9.16101e-05,0.410607
-0.00164643,-5e-11,0.000130073,0.490532
-0.00150786,-1.5e-10,0.000180325,0.581041
-0.00136929,-1.5e-10,0.000230496,0.666828
-0.00119908,1e-10,0.0002882,0.77027
-0.00101333,-5.21674e-11,0.000321985,0.857339
-0.000908411,-7.35825e-11,0.000325054,0.89711
-0.000862391,-1.47135e-10,0.00032468,0.913483
-0.00075423,-3.56603e-10,0.000318332,0.949218
-0.000561392,5.8152e-20,0.000277092,0.998712
-0.000338493,5e-11,0.000187276,1.03581
-0.000113108,1e-10,6.62367e-05,1.05424
9.95858e-06,1.0102e-11,-5.8318e-06,1.05423
0.000123066,4.8352e-11,-7.1582e-05,1.05343
0.000338493,5e-11,-0.000187276,1.03581
0.000561392,-4.92824e-20,-0.000277092,0.998712
0.000752764,4.75998e-12,-0.00031802,0.949597
0.000860925,9.27146e-12,-0.000324665,0.914001
0.000910664,9.77625e-12,-0.000325066,0.896301
0.00101558,-6.60519e-20,-0.000321585,0.856297
0.00119908,-3.90569e-20,-0.0002882,0.77027
0.00136929,-2.34782e-20,-0.000230496,0.666828
0.00150786,-1.92242e-20,-0.000180325,0.581041
0.00164643,-1.18669e-20,-0.000130073,0.490532
0.001785,5e-12,-8.36284e-05,0.394084
0.00192357,5e-12,-4.4481e-05,0.290907
0.00206214,-1.0589e-21,-1.64273e-05,0.180472
0.00220071,2.5e-12,-2.83354e-06,0.0623963
