y,U_0,U_1,U_2
-1.288e-20,1.30073e-08,-5.7525e-14,0.0600751
-3.62816e-21,5.40988e-08,-4.45737e-13,0.176791
-1.288e-20,1.27446e-07,-1.31338e-12,0.286528
-2.14576e-20,2.30291e-07,-2.48791e-12,0.389428
-2.14576e-20,3.52858e-07,-3.68169e-12,0.486101
-2.21319e-20,4.85261e-07,-4.62538e-12,0.577426
-2.21319e-20,6.24455e-07,-5.34773e-12,0.669568
-1.94346e-20,7.60186e-07,-6.03994e-12,0.768609
-1.19641e-20,8.42867e-07,-6.63187e-12,0.854883
-5.9898e-21,8.66855e-07,-6.93243e-12,0.899615
-4.59535e-21,8.6353e-07,-7.0317e-12,0.918642
-1.067e-20,8.31102e-07,-7.15751e-12,0.953418
-8.36062e-21,7.15626e-07,-7.18771e-12,1.00388
7.97014e-22,4.82367e-07,-7.00032e-12,1.04375
-3.43677e-21,1.92076e-07,-6.82058e-12,1.06309
-8.25063e-21,2.17026e-08,-6.75798e-12,1.06809
-9.36227e-21,-1.70376e-07,-6.81261e-12,1.06373
-1.58684e-20,-4.82371e-07,-6.93761e-12,1.04375
-2.26115e-20,-7.15629e-07,-7e-12,1.00388
-3.15374e-20,-8.3587e-07,-6.87792e-12,0.948306
-3.97655e-20,-8.68298e-07,-6.73953e-12,0.91353
-4.06114e-20,-8.69968e-07,-6.70022e-12,0.905417
-3.52462e-20,-8.45979e-07,-6.44393e-12,0.860685
-2.69886e-20,-7.60186e-07,-6.02948e-12,0.768609
-2.62335e-20,-6.24456e-07,-5.73047e-12,0.669568
-3.01179e-20,-4.85262e-07,-5.42518e-12,0.577426
-3.46765e-20,-3.52859e-07,-4.89402e-12,0.486101
-3.84295e-20,-2.30292e-07,-4.08154e-12,0.389428
-3.95661e-20,-1.68376e-07,-3.55863e-12,0.334541
-4.04413e-20,-1.23113e-07,-2.99298e-12,0.281444
-3.33325e-20,-5.40992e-08,-1.86519e-12,0.176791
