y,U_0,U_1,U_2
-0.00220071,-3.44384e-14,1.3287e-09,0.0600735
-0.00206214,-6.91245e-14,5.50447e-09,0.176786
-0.00192357,-5.90574e-14,1.29249e-08,0.286521
-0.0018289,-4.34759e-14,1.9626e-08,0.357861
-0.00175962,-2.90992e-14,2.54342e-08,0.407666
-0.00164643,-2.48559e-15,3.56621e-08,0.486093
-0.00150786,4.31538e-14,4.89969e-08,0.57742
-0.00136929,1.17758e-13,6.30059e-08,0.669565
-0.00119908,1.54297e-13,7.66605e-08,0.768611
-0.00101233,7.32847e-14,8.50635e-08,0.856574
-0.000907411,-1.35905e-14,8.74714e-08,0.90131
-0.000861813,-4.11082e-14,8.71061e-08,0.917973
-0.000753652,-8.89161e-14,8.38316e-08,0.952754
-0.000561392,-1.43686e-13,7.21219e-08,1.0039
-0.000338493,-1.99904e-13,4.861e-08,1.04378
-0.000113108,-2.62468e-13,1.71667e-08,1.06376
2.76336e-05,-2.84438e-13,-4.19778e-09,1.06754
0.000140742,-2.71906e-13,-2.13675e-08,1.06254
0.000338493,-2.18633e-13,-4.86158e-08,1.04378
0.000561392,-1.49915e-13,-7.21272e-08,1.0039
0.000757713,-9.70893e-14,-8.3959e-08,0.951448
0.000865874,-6.18624e-14,-8.72328e-08,0.916667
0.000904557,-5.29683e-14,-8.75404e-08,0.902527
0.00100947,-4.27609e-14,-8.51321e-08,0.857791
0.00119908,-1.00754e-13,-7.66629e-08,0.768611
0.00136929,-1.89334e-13,-6.30078e-08,0.669565
0.00150786,-1.79407e-13,-4.89985e-08,0.57742
0.00164643,-1.26892e-13,-3.56633e-08,0.486093
0.001785,-8.8761e-14,-2.33071e-08,0.389421
0.00192357,-4.88852e-14,-1.29252e-08,0.286521
0.00206214,-4.50717e-15,-5.50459e-09,0.176786
0.00220071,8.74788e-15,-1.32873e-09,0.0600735
