y,U_0,U_1,U_2
-0.00220071,-3.53165e-11,5.99383e-07,0.0601549
-0.00206214,-1.04573e-10,2.49317e-06,0.177011
-0.00192357,-1.71328e-10,5.87405e-06,0.286846
-0.00178693,-2.30817e-10,1.05416e-05,0.388414
-0.00171764,-2.58254e-10,1.31964e-05,0.438231
-0.00164643,-2.73886e-10,1.62667e-05,0.486468
-0.00150786,-2.83744e-10,2.23726e-05,0.577731
-0.00136929,-2.46569e-10,2.87927e-05,0.669734
-0.00119908,-1.53116e-10,3.50546e-05,0.76853
-0.00102595,-4.18852e-11,3.87683e-05,0.850388
-0.000921039,3.06724e-11,3.98763e-05,0.894923
-0.000846746,7.56849e-11,3.9647e-05,0.922096
-0.000738585,1.33929e-10,3.81524e-05,0.956664
-0.000561392,2.036e-10,3.30066e-05,1.00265
-0.000338493,2.4996e-10,2.22487e-05,1.0422
-0.000113108,2.62498e-10,7.85837e-06,1.06199
1.63497e-06,2.62428e-10,-1.13553e-07,1.06687
0.000114743,2.57421e-10,-7.97188e-06,1.06192
0.000338493,2.42472e-10,-2.22486e-05,1.0422
0.000561392,2.10526e-10,-3.30066e-05,1.00265
0.000751343,1.5966e-10,-3.83287e-05,0.952587
0.000859505,1.20209e-10,-3.98232e-05,0.918019
0.000910508,9.8317e-11,-3.99875e-05,0.899393
0.00101542,4.44862e-11,-3.88795e-05,0.854858
0.00119908,-5.24373e-11,-3.50546e-05,0.76853
0.00136929,-1.4219e-10,-2.87927e-05,0.669734
0.00150786,-1.92484e-10,-2.23726e-05,0.577731
0.00164643,-2.07125e-10,-1.62667e-05,0.486468
0.001785,-1.92509e-10,-1.06154e-05,0.389798
0.00192357,-1.54074e-10,-5.87405e-06,0.286846
0.00206214,-9.9553e-11,-2.49317e-06,0.177011
0.00220071,-3.46101e-11,-5.99383e-07,0.0601549
