y,U_0,U_1,U_2
-0.00220071,3.95045e-12,1.75786e-07,0.0600972
-0.00206214,1.0632e-11,7.31139e-07,0.176852
-0.00192357,1.3181e-11,1.72247e-06,0.286616
-0.00179135,9.36386e-12,3.04127e-06,0.384968
-0.00172206,5.36225e-12,3.81961e-06,0.434776
-0.00164643,-2.44366e-12,4.76931e-06,0.486202
-0.00150786,-1.96348e-11,6.55909e-06,0.577511
-0.00136929,-4.09826e-11,8.44077e-06,0.669614
-0.00119908,-6.20158e-11,1.02758e-05,0.768587
-0.0010232,-7.22824e-11,1.13723e-05,0.851826
-0.000918285,-7.3443e-11,1.16967e-05,0.896504
-0.000849212,-7.1067e-11,1.16308e-05,0.921816
-0.000741051,-6.3583e-11,1.11925e-05,0.956536
-0.000561392,-4.69242e-11,9.67411e-06,1.00354
-0.000338493,-2.56515e-11,6.52091e-06,1.04332
-0.000181174,-1.50141e-11,3.68924e-06,1.06025
-6.80658e-05,-1.18838e-11,1.38603e-06,1.06523
0.000113108,-1.31303e-11,-2.3032e-06,1.06325
0.000338493,-2.56515e-11,-6.5209e-06,1.04332
0.000561392,-4.69242e-11,-9.6741e-06,1.00354
0.000768576,-6.66107e-11,-1.13041e-05,0.9477
0.000876737,-7.53529e-11,-1.17423e-05,0.91298
0.000897221,-7.62974e-11,-1.17618e-05,0.905474
0.00100214,-7.63787e-11,-1.14374e-05,0.860796
0.00119908,-6.71425e-11,-1.02758e-05,0.768587
0.00136929,-4.6172e-11,-8.44077e-06,0.669614
0.00150786,-2.40105e-11,-6.5591e-06,0.577511
0.00164643,-5.25684e-12,-4.76931e-06,0.486202
0.001785,7.6219e-12,-3.11258e-06,0.389531
0.00192357,1.29308e-11,-1.72247e-06,0.286616
0.00206214,1.09945e-11,-7.31139e-07,0.176852
0.00220071,4.18795e-12,-1.75786e-07,0.0600972
