y,U_0,U_1,U_2
-0.00220071,3.07537e-12,1.29391e-07,0.060091
-0.00206214,9.70739e-12,5.38164e-07,0.176835
-0.00192357,1.76959e-11,1.26784e-06,0.286591
-0.00181724,2.48015e-11,2.02445e-06,0.366327
-0.00174795,2.9802e-11,2.59733e-06,0.416134
-0.00164643,3.6566e-11,3.51042e-06,0.486174
-0.00150786,4.35649e-11,4.82775e-06,0.577487
-0.00136929,4.53334e-11,6.21269e-06,0.669601
-0.00119908,3.81833e-11,7.56324e-06,0.768594
-0.00102359,2.40076e-11,8.36938e-06,0.851692
-0.00091867,1.30092e-11,8.60814e-06,0.896385
-0.000849272,6.25513e-12,8.56066e-06,0.921852
-0.000741111,-3.64086e-12,8.23808e-06,0.956588
-0.000561392,-1.68457e-11,7.12029e-06,1.00363
-0.000338493,-2.74883e-11,4.79948e-06,1.04344
-0.000135966,-3.17474e-11,2.03777e-06,1.06237
-2.28582e-05,-3.23735e-11,3.42577e-07,1.06736
0.000113108,-3.18739e-11,-1.6952e-06,1.06338
0.000338493,-2.87426e-11,-4.79949e-06,1.04344
0.000561392,-1.93437e-11,-7.1203e-06,1.00363
0.00075101,-4.40621e-12,-8.26761e-06,0.953409
0.000859171,6.60773e-12,-8.59019e-06,0.918673
0.000910733,1.19259e-11,-8.62621e-06,0.899766
0.00101565,2.29261e-11,-8.38745e-06,0.855073
0.00119908,3.82493e-11,-7.56325e-06,0.768594
0.00136929,4.60857e-11,-6.2127e-06,0.669601
0.00150786,4.48772e-11,-4.82775e-06,0.577487
0.00164643,3.80036e-11,-3.51043e-06,0.486174
0.001785,2.83783e-11,-2.29101e-06,0.389502
0.00192357,1.86959e-11,-1.26784e-06,0.286591
0.00206214,1.04574e-11,-5.38165e-07,0.176835
0.00220071,3.38788e-12,-1.29391e-07,0.060091
