y,U_0,U_1,U_2
-0.00214072,-3.4903e-13,5.39475e-06,0.109208
-0.00189942,-6.95901e-13,2.96425e-05,0.304354
-0.00165813,-8.14727e-13,7.55953e-05,0.477934
-0.00141684,-8.31123e-13,0.000130786,0.633604
-0.00116113,-7.54294e-13,0.000183949,0.787314
-0.000884355,-4.6272e-13,0.000204817,0.907929
-0.000596066,-1.58881e-13,0.000179153,0.993333
-0.000299995,7.44287e-14,0.000105289,1.04432
0,3.47875e-13,-7.15745e-14,1.06132
0.000299995,5.4144e-13,-0.000105289,1.04432
0.000596066,5.92431e-13,-0.000179153,0.993333
0.000884355,4.51663e-13,-0.000204817,0.907929
0.00116113,2.91498e-13,-0.000183949,0.787314
0.00141684,2.06725e-13,-0.000130786,0.633604
0.00165813,1.36351e-13,-7.55953e-05,0.477934
0.00189942,9.65769e-14,-2.96425e-05,0.304354
0.00214072,4.88802e-14,-5.39475e-06,0.109208
