y,U_0,U_1,U_2
-0.00214072,-1.18586e-11,1.41319e-07,0.108465
-0.00189942,-4.4736e-11,7.78056e-07,0.302696
-0.00165813,-7.15555e-11,1.9859e-06,0.476073
-0.00141684,-1.99717e-11,3.43519e-06,0.632419
-0.00116113,1.48469e-10,4.82828e-06,0.78791
-0.000884355,2.68998e-10,5.37292e-06,0.911069
-0.000596066,2.0186e-10,4.69913e-06,0.999248
-0.000299995,6.19152e-11,2.76213e-06,1.05245
-1.35525e-20,1.3222e-12,6.94611e-11,1.07028
0.000299995,6.21908e-11,-2.76198e-06,1.05245
0.000596066,2.00715e-10,-4.69894e-06,0.999248
0.000884355,2.68817e-10,-5.37275e-06,0.911069
0.00116113,1.51598e-10,-4.82816e-06,0.78791
0.00141684,-1.76989e-11,-3.43513e-06,0.632419
0.00165813,-7.16501e-11,-1.98586e-06,0.476073
0.00189942,-4.56546e-11,-7.78042e-07,0.302696
0.00214072,-1.2272e-11,-1.41315e-07,0.108465
