y,U_0,U_1,U_2
-0.00214072,2.85421e-11,2.60125e-07,0.108482
-0.00189942,1.01329e-10,1.42684e-06,0.302733
-0.00165813,3.22748e-10,3.63457e-06,0.476115
-0.00141684,5.56824e-10,6.2831e-06,0.632446
-0.00116113,4.74813e-10,8.83136e-06,0.787896
-0.000884355,1.74369e-11,9.83006e-06,0.910998
-0.000596066,-3.9444e-10,8.59893e-06,0.999115
-0.000299995,-5.64542e-10,5.05476e-06,1.05226
0,-5.86836e-10,-2.13896e-10,1.07008
0.000299995,-5.38853e-10,-5.05516e-06,1.05226
0.000596066,-3.75763e-10,-8.59925e-06,0.999115
0.000884355,-2.22347e-11,-9.8303e-06,0.910998
0.00116113,3.80075e-10,-8.83146e-06,0.787896
0.00141684,4.93305e-10,-6.28313e-06,0.632446
0.00165813,3.16714e-10,-3.63459e-06,0.476115
0.00189942,1.17405e-10,-1.42686e-06,0.302733
0.00214072,3.54991e-11,-2.60131e-07,0.108482
