y,U_0,U_1,U_2
-0.00214072,-9.81619e-12,1.18064e-06,0.108612
-0.00189942,-1.5047e-11,6.47833e-06,0.303025
-0.00165813,2.81139e-11,1.65059e-05,0.476441
-0.00141684,1.20193e-10,2.85383e-05,0.632654
-0.00116113,2.02046e-10,4.01182e-05,0.787792
-0.000884355,1.99317e-10,4.46587e-05,0.910447
-0.000596066,8.46865e-11,3.90663e-05,0.998076
-0.000299995,-1.36357e-10,2.29645e-05,1.05083
0,-1.67276e-10,1.76047e-11,1.06851
0.000299995,-1.04504e-10,-2.29646e-05,1.05083
0.000596066,-1.92655e-11,-3.90663e-05,0.998076
0.000884355,7.09351e-11,-4.46586e-05,0.910447
0.00116113,8.54122e-11,-4.01181e-05,0.787792
0.00141684,4.22546e-11,-2.85383e-05,0.632654
0.00165813,2.25054e-12,-1.65059e-05,0.476441
0.00189942,-1.08179e-11,-6.47832e-06,0.303025
0.00214072,-5.22001e-12,-1.18064e-06,0.108612
