y,U_0,U_1,U_2
-0.00214072,-1.32009e-10,3.5196e-07,0.108495
-0.00189942,-3.97383e-10,1.93066e-06,0.302762
-0.00165813,-6.20679e-10,4.91807e-06,0.476147
-0.00141684,-4.23168e-10,8.502e-06,0.632467
-0.00116113,2.99658e-10,1.19504e-05,0.787886
-0.000884355,9.06662e-10,1.3302e-05,0.910943
-0.000596066,1.079e-09,1.16362e-05,0.999011
-0.000299995,1.08018e-09,6.84048e-06,1.05212
0,1.03065e-09,4.55671e-10,1.06993
0.000299995,9.69017e-10,-6.83957e-06,1.05212
0.000596066,8.99077e-10,-1.16353e-05,0.999011
0.000884355,7.11003e-10,-1.33013e-05,0.910943
0.00116113,2.72797e-10,-1.19499e-05,0.787886
0.00141684,-2.21806e-10,-8.50168e-06,0.632467
0.00165813,-3.89557e-10,-4.91787e-06,0.476147
0.00189942,-2.76407e-10,-1.93058e-06,0.302762
0.00214072,-9.81879e-11,-3.51939e-07,0.108495
