y,U_0,U_1,U_2
-0.00220071,-6.24853e-15,7.21171e-07,0.0600723
-0.00206214,-6.24853e-15,2.01671e-06,0.176783
-0.00192357,1.08968e-20,3.11052e-06,0.286518
-0.001785,1.72684e-20,4.43826e-06,0.38942
-0.00167805,1.49609e-20,5.94811e-06,0.464703
-0.00160877,7.69978e-21,7.23874e-06,0.511572
-0.00150786,6.21567e-22,9.45917e-06,0.577422
-0.00136929,6.40258e-21,1.2856e-05,0.669559
-0.00119908,3.6418e-20,1.60021e-05,0.768587
-0.00102708,5.48111e-20,1.76013e-05,0.850236
-0.000922161,6.14621e-20,1.79236e-05,0.894953
-0.00084174,-2.67918e-14,1.76521e-05,0.924345
-0.000733579,-8.898e-14,1.67809e-05,0.959104
-0.000561392,-1.87188e-13,1.43052e-05,1.00377
-0.000338493,-1.87607e-13,9.4813e-06,1.04361
-0.000185184,-1.02502e-13,5.43329e-06,1.06039
-7.2076e-05,-3.98952e-14,2.11471e-06,1.06539
0.000113108,-6.2607e-14,-3.31858e-06,1.06357
0.000338493,-1.87607e-13,-9.4813e-06,1.04361
0.000561392,-1.87188e-13,-1.43052e-05,1.00377
0.000780177,-6.21882e-14,-1.71562e-05,0.944129
0.000993253,-2.56085e-20,-1.77052e-05,0.864652
0.00119908,-1.19546e-20,-1.60021e-05,0.768587
0.00136929,8.5658e-21,-1.2856e-05,0.669559
0.00150786,1.26866e-20,-9.45917e-06,0.577422
0.00164643,8.00541e-21,-6.53718e-06,0.486095
0.001785,4.22424e-21,-4.43826e-06,0.38942
0.00192357,3.32046e-21,-3.11052e-06,0.286518
0.00206214,-1.24971e-14,-2.01671e-06,0.176783
