y,U_0,U_1,U_2
-0.00220071,5e-13,2.8334e-06,0.0623963
-0.00206214,-1.1347e-21,1.64268e-05,0.180472
-0.00192357,-3.0183e-22,4.44803e-05,0.290907
-0.00183845,-4.81881e-13,6.85711e-05,0.35431
-0.00176916,1.67786e-20,8.89562e-05,0.405115
-0.00164643,5.61928e-21,0.000130071,0.490532
-0.00150786,1.29337e-20,0.000180324,0.581041
-0.00136929,2.43564e-20,0.000230494,0.666828
-0.00119908,4.11347e-20,0.000288198,0.77027
-0.00101019,4.9646e-20,0.00032254,0.858791
-0.000905274,4.12792e-20,0.000325035,0.898237
-0.000865899,3.64605e-20,0.000324714,0.912245
-0.000757737,-1.29016e-12,0.000319079,0.948311
-0.000561392,6.10505e-20,0.000277091,0.998712
-0.000338493,3.09359e-20,0.000187275,1.03581
-0.000113108,1.66373e-20,6.62364e-05,1.05424
4.67831e-05,-4.44634e-20,-2.73963e-05,1.05423
0.000159891,-1.00921e-20,-9.13478e-05,1.05042
0.000338493,-2.2679e-20,-0.000187275,1.03581
0.000561392,-4.12799e-20,-0.000277091,0.998712
0.000745458,-1.99619e-12,-0.000316461,0.951485
0.000853619,2.83115e-20,-0.000324592,0.916581
0.000914776,2.67737e-20,-0.00032509,0.894824
0.00101969,-4.96769e-20,-0.000320855,0.854394
0.00119908,-3.49965e-20,-0.000288198,0.77027
0.00136929,-2.03383e-20,-0.000230494,0.666828
0.00150786,-1.62132e-20,-0.000180324,0.581041
0.00164643,-1.10142e-20,-0.000130071,0.490532
0.001785,-6.04008e-21,-8.36273e-05,0.394084
0.00192357,-5e-12,-4.44803e-05,0.290907
0.00206214,-8.98624e-22,-1.64268e-05,0.180472
