y,U_0,U_1,U_2
-0.00220071,-6.87515e-14,1.80527e-07,0.0600972
-0.00206214,-1.06237e-13,7.45484e-07,0.176852
-0.00192357,-3.74854e-14,1.74564e-06,0.286616
-0.00181967,2.42473e-21,2.75142e-06,0.36461
-0.00175038,2.06201e-21,3.53204e-06,0.414418
-0.00164643,-1.25113e-13,4.80145e-06,0.486202
-0.00150786,-2.49976e-13,6.59029e-06,0.57751
-0.00136929,-1.86523e-13,8.46762e-06,0.669613
-0.00119908,-1.24649e-13,1.02959e-05,0.768586
-0.00101928,-7.86127e-14,1.1398e-05,0.853497
-0.000914361,-1.56237e-14,1.17189e-05,0.898174
-0.000852866,-2.03947e-13,1.16538e-05,0.920642
-0.000744705,-8.25829e-13,1.12127e-05,0.955361
-0.000561392,-1.249e-12,9.67585e-06,1.00354
-0.000338493,-6.27117e-13,6.52062e-06,1.04332
-0.000139366,2.47541e-21,2.83748e-06,1.06209
-2.62579e-05,-8.24503e-21,5.3461e-07,1.06708
0.000113108,-1.10576e-21,-2.30287e-06,1.06325
0.000338493,-6.27117e-13,-6.52063e-06,1.04332
0.000561392,-1.249e-12,-9.67587e-06,1.00354
0.000758186,-7.48315e-13,-1.12677e-05,0.951033
0.000866348,-1.26434e-13,-1.17088e-05,0.916314
0.000905242,-1.01488e-14,-1.17468e-05,0.902057
0.00101016,-7.31378e-14,-1.14259e-05,0.85738
0.00119908,-1.87989e-13,-1.02959e-05,0.768586
0.00136929,-3.12432e-13,-8.46762e-06,0.669613
0.00150786,-3.12544e-13,-6.59029e-06,0.57751
0.00164643,-2.50023e-13,-4.80145e-06,0.486202
0.001785,-2.49979e-13,-3.14199e-06,0.38953
0.00192357,-1.87544e-13,-1.74564e-06,0.286616
0.00206214,-1.6873e-13,-7.45484e-07,0.176852
