y,U_0,U_1,U_2
-0.00220071,-6.25147e-15,1.39664e-07,0.0600907
-0.00206214,-1.2499e-14,5.67519e-07,0.176834
-0.00192357,-6.24757e-15,1.31008e-06,0.28659
-0.00183648,-8.35788e-22,1.91102e-06,0.352491
-0.0017672,-9.74592e-22,2.4814e-06,0.402298
-0.00164643,1.00331e-21,3.54258e-06,0.486172
-0.00150786,6.25682e-14,4.83578e-06,0.577485
-0.00136929,1.25908e-13,6.18538e-06,0.669599
-0.00119908,6.334e-14,7.49408e-06,0.768591
-0.00101392,1.85141e-21,8.28977e-06,0.855806
-0.000909007,-1.02012e-21,8.51486e-06,0.900498
-0.000860727,-1.05408e-21,8.47643e-06,0.918171
-0.000752566,5.15949e-20,8.1522e-06,0.952907
-0.000561392,5.53754e-21,7.01008e-06,1.00363
-0.000338493,4.58133e-21,4.72207e-06,1.04344
-0.000113108,8.14029e-22,1.66736e-06,1.06338
3.15958e-05,-1.53368e-21,-4.65763e-07,1.06698
0.000144704,-8.45231e-21,-2.13312e-06,1.06198
0.000338493,-8.14823e-21,-4.72207e-06,1.04344
0.000561392,8.47411e-21,-7.01008e-06,1.00363
0.000751079,1.98297e-20,-8.14774e-06,0.953384
0.00085924,1.96484e-20,-8.47198e-06,0.918648
0.000909304,1.73355e-20,-8.51422e-06,0.900372
0.00101422,7.33366e-21,-8.28913e-06,0.855679
0.00119908,-3.41503e-20,-7.49408e-06,0.768591
0.00136929,-2.94361e-20,-6.18538e-06,0.669599
0.00150786,-2.62948e-21,-4.83578e-06,0.577485
0.00164643,6.89903e-22,-3.54258e-06,0.486172
0.001785,-6.24656e-15,-2.33484e-06,0.3895
0.00192357,-2.49941e-14,-1.31008e-06,0.28659
0.00206214,-3.25002e-14,-5.67519e-07,0.176834
