y,U_0,U_1,U_2
-0.00220071,-1.87515e-13,5.99768e-07,0.0601549
-0.00206214,-5.00039e-13,2.49436e-06,0.177011
-0.00192357,-6.2499e-13,5.87607e-06,0.286846
-0.00179613,-4.67515e-13,1.01914e-05,0.381792
-0.00172685,-2.79959e-13,1.28466e-05,0.43161
-0.00164643,-1.2491e-13,1.627e-05,0.486468
-0.00150786,-6.25682e-13,2.23762e-05,0.577731
-0.00136929,-1.25908e-12,2.87965e-05,0.669734
-0.00119908,-6.334e-13,3.50584e-05,0.76853
-0.00102352,8.3129e-20,3.87977e-05,0.851421
-0.000918606,9.42099e-20,3.99056e-05,0.895956
-0.000847827,8.4502e-20,3.96654e-05,0.921751
-0.000739666,5.2718e-20,3.81706e-05,0.956319
-0.000561392,3.84383e-20,3.30093e-05,1.00265
-0.000338493,4.17672e-20,2.22504e-05,1.0422
-0.000114119,2.71211e-21,7.92922e-06,1.06195
-1.01159e-06,-3.40091e-20,7.02848e-08,1.06691
0.000113108,-5.32849e-20,-7.85894e-06,1.062
0.000338493,-8.80013e-20,-2.22504e-05,1.0422
0.000561392,-7.40062e-20,-3.30093e-05,1.00265
0.000744521,-1.92611e-20,-3.82377e-05,0.954767
0.000852682,1.71622e-20,-3.97325e-05,0.920199
0.000915753,2.0147e-20,-3.99358e-05,0.897167
0.00102067,-6.01237e-21,-3.88279e-05,0.852632
0.00119908,-2.82309e-20,-3.50584e-05,0.76853
0.00136929,-2.95393e-20,-2.87965e-05,0.669734
0.00150786,-1.89773e-20,-2.23762e-05,0.577731
0.00164643,-1.01538e-20,-1.627e-05,0.486468
0.001785,6.24656e-14,-1.06181e-05,0.389798
0.00192357,1.87466e-13,-5.87607e-06,0.286846
0.00206214,2.0626e-13,-2.49436e-06,0.177011
0.00220071,8.12603e-14,-5.99768e-07,0.0601549
