Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
0.0000000000,-0.0022613599,0.0000000000,0.0500000007,0.0116282627
1.0000000000,-0.0022568328,0.0000000000,0.0500000007,0.0156589448
2.0000000000,-0.0022523056,0.0000000000,0.0500000007,0.0196896270
3.0000000000,-0.0022477785,0.0000000000,0.0500000007,0.0237203166
4.0000000000,-0.0022432513,0.0000000000,0.0500000007,0.0277509987
5.0000000000,-0.0022387241,0.0000000000,0.0500000007,0.0317816809
6.0000000000,-0.0022341970,0.0000000000,0.0500000007,0.0358123630
7.0000000000,-0.0022296698,0.0000000000,0.0500000007,0.0398430415
8.0000000000,-0.0022251427,0.0000000000,0.0500000007,0.0438737236
9.0000000000,-0.0022206155,0.0000000000,0.0500000007,0.0479044095
10.0000000000,-0.0022160884,0.0000000000,0.0500000007,0.0519350916
11.0000000000,-0.0022115612,0.0000000000,0.0500000007,0.0559657700
12.0000000000,-0.0022070340,0.0000000000,0.0500000007,0.0599964596
13.0000000000,-0.0022025069,0.0000000000,0.0500000007,0.0640271455
14.0000000000,-0.0021979797,0.0000000000,0.0500000007,0.0680578277
15.0000000000,-0.0021934526,0.0000000000,0.0500000007,0.0720885098
16.0000000000,-0.0021889254,0.0000000000,0.0500000007,0.0761191845
17.0000000000,-0.0021843982,0.0000000000,0.0500000007,0.0801498741
18.0000000000,-0.0021798711,0.0000000000,0.0500000007,0.0841805488
19.0000000000,-0.0021753439,0.0000000000,0.0500000007,0.0882112309
20.0000000000,-0.0021708168,0.0000000000,0.0500000007,0.0922419280
21.0000000000,-0.0021662896,0.0000000000,0.0500000007,0.0962725952
22.0000000000,-0.0021617624,0.0000000000,0.0500000007,0.1003032923
23.0000000000,-0.0021572353,0.0000000000,0.0500000007,0.1043339744
24.0000000000,-0.0021527081,0.0000000000,0.0500000007,0.1083646491
25.0000000000,-0.0021481810,0.0000000000,0.0500000007,0.1123944968
26.0000000000,-0.0021436538,0.0000000000,0.0500000007,0.1164264530
27.0000000000,-0.0021391266,0.0000000000,0.0500000007,0.1204566956
28.0000000000,-0.0021345995,0.0000000000,0.0500000007,0.1244873852
29.0000000000,-0.0021300723,0.0000000000,0.0500000007,0.1284419149
30.0000000000,-0.0021255452,0.0000000000,0.0500000007,0.1322184205
31.0000000000,-0.0021210180,0.0000000000,0.0500000007,0.1359949410
32.0000000000,-0.0021164909,0.0000000000,0.0500000007,0.1397714317
33.0000000000,-0.0021119637,0.0000000000,0.0500000007,0.1435479373
34.0000000000,-0.0021074365,0.0000000000,0.0500000007,0.1473244429
35.0000000000,-0.0021029094,0.0000000000,0.0500000007,0.1511009634
36.0000000000,-0.0020983822,0.0000000000,0.0500000007,0.1548774540
37.0000000000,-0.0020938551,0.0000000000,0.0500000007,0.1586539745
38.0000000000,-0.0020893279,0.0000000000,0.0500000007,0.1624304652
39.0000000000,-0.0020848007,0.0000000000,0.0500000007,0.1662069857
40.0000000000,-0.0020802736,0.0000000000,0.0500000007,0.1699834913
41.0000000000,-0.0020757464,0.0000000000,0.0500000007,0.1737599969
42.0000000000,-0.0020712193,0.0000000000,0.0500000007,0.1775365025
43.0000000000,-0.0020666921,0.0000000000,0.0500000007,0.1813130081
44.0000000000,-0.0020621649,0.0000000000,0.0500000007,0.1850895137
45.0000000000,-0.0020576378,0.0000000000,0.0500000007,0.1888660193
46.0000000000,-0.0020531106,0.0000000000,0.0500000007,0.1926425248
47.0000000000,-0.0020485835,0.0000000000,0.0500000007,0.1964190304
48.0000000000,-0.0020440563,0.0000000000,0.0500000007,0.2001955360
49.0000000000,-0.0020395292,0.0000000000,0.0500000007,0.2039720416
50.0000000000,-0.0020350020,0.0000000000,0.0500000007,0.2077485323
51.0000000000,-0.0020304748,0.0000000000,0.0500000007,0.2115250528
52.0000000000,-0.0020259477,0.0000000000,0.0500000007,0.2153015584
53.0000000000,-0.0020214205,0.0000000000,0.0500000007,0.2190780640
54.0000000000,-0.0020168934,0.0000000000,0.0500000007,0.2228545696
55.0000000000,-0.0020123662,0.0000000000,0.0500000007,0.2266310751
56.0000000000,-0.0020078390,0.0000000000,0.0500000007,0.2304072529
57.0000000000,-0.0020033119,0.0000000000,0.0500000007,0.2341849506
58.0000000000,-0.0019987847,0.0000000000,0.0500000007,0.2379606068
59.0000000000,-0.0019942576,0.0000000000,0.0500000007,0.2417371124
60.0000000000,-0.0019897304,0.0000000000,0.0500000007,0.2453378439
61.0000000000,-0.0019852032,0.0000000000,0.0500000007,0.2488598675
62.0000000000,-0.0019806761,0.0000000000,0.0500000007,0.2523818612
63.0000000000,-0.0019761489,0.0000000000,0.0500000007,0.2559038997
64.0000000000,-0.0019716218,0.0000000000,0.0500000007,0.2594259083
65.0000000000,-0.0019670946,0.0000000000,0.0500000007,0.2629479170
66.0000000000,-0.0019625674,0.0000000000,0.0500000007,0.2664699256
67.0000000000,-0.0019580403,0.0000000000,0.0500000007,0.2699919343
68.0000000000,-0.0019535131,0.0000000000,0.0500000007,0.2735139728
69.0000000000,-0.0019489859,0.0000000000,0.0500000007,0.2770360708
70.0000000000,-0.0019444586,0.0000000000,0.0500000007,0.2805581689
71.0000000000,-0.0019399313,0.0000000000,0.0500000007,0.2840802670
72.0000000000,-0.0019354040,0.0000000000,0.0500000007,0.2876023650
73.0000000000,-0.0019308768,0.0000000000,0.0500000007,0.2911244631
74.0000000000,-0.0019263495,0.0000000000,0.0500000007,0.2946465910
75.0000000000,-0.0019218222,0.0000000000,0.0500000007,0.2981686890
76.0000000000,-0.0019172949,0.0000000000,0.0500000007,0.3016907871
77.0000000000,-0.0019127676,0.0000000000,0.0500000007,0.3052129149
78.0000000000,-0.0019082404,0.0000000000,0.0500000007,0.3087350130
79.0000000000,-0.0019037131,0.0000000000,0.0500000007,0.3122571111
80.0000000000,-0.0018991858,0.0000000000,0.0500000007,0.3157792091
81.0000000000,-0.0018946585,0.0000000000,0.0500000007,0.3193013072
82.0000000000,-0.0018901313,0.0000000000,0.0500000007,0.3228234351
83.0000000000,-0.0018856040,0.0000000000,0.0500000007,0.3263455629
84.0000000000,-0.0018810767,0.0000000000,0.0500000007,0.3298676312
85.0000000000,-0.0018765494,0.0000000000,0.0500000007,0.3333897591
86.0000000000,-0.0018720222,0.0000000000,0.0500000007,0.3369118571
87.0000000000,-0.0018674949,0.0000000000,0.0500000007,0.3404341042
88.0000000000,-0.0018629676,0.0000000000,0.0500000007,0.3439560533
89.0000000000,-0.0018584403,0.0000000000,0.0500000007,0.3474781811
90.0000000000,-0.0018539131,0.0000000000,0.0500000007,0.3507103622
91.0000000000,-0.0018493858,0.0000000000,0.0500000007,0.3542466760
92.0000000000,-0.0018448585,0.0000000000,0.0500000007,0.3575140536
93.0000000000,-0.0018403312,0.0000000000,0.0500000007,0.3607814312
94.0000000000,-0.0018358040,0.0000000000,0.0500000007,0.3640488386
95.0000000000,-0.0018312767,0.0000000000,0.0500000007,0.3673161864
96.0000000000,-0.0018267494,0.0000000000,0.0500000007,0.3705835939
97.0000000000,-0.0018222221,0.0000000000,0.0500000007,0.3738509715
98.0000000000,-0.0018176949,0.0000000000,0.0500000007,0.3771183491
99.0000000000,-0.0018131676,0.0000000000,0.0500000007,0.3803857267
100.0000000000,-0.0018086403,0.0000000000,0.0500000007,0.3836531043
101.0000000000,-0.0018041130,0.0000000000,0.0500000007,0.3869204819
102.0000000000,-0.0017995858,0.0000000000,0.0500000007,0.3901878595
103.0000000000,-0.0017950585,0.0000000000,0.0500000007,0.3934552670
104.0000000000,-0.0017905312,0.0000000000,0.0500000007,0.3967226446
105.0000000000,-0.0017860039,0.0000000000,0.0500000007,0.3999900222
106.0000000000,-0.0017814767,0.0000000000,0.0500000007,0.4032573700
107.0000000000,-0.0017769494,0.0000000000,0.0500000007,0.4065248072
108.0000000000,-0.0017724221,0.0000000000,0.0500000007,0.4097921848
109.0000000000,-0.0017678948,0.0000000000,0.0500000007,0.4130595326
110.0000000000,-0.0017633676,0.0000000000,0.0500000007,0.4163269401
111.0000000000,-0.0017588403,0.0000000000,0.0500000007,0.4195942879
112.0000000000,-0.0017543130,0.0000000000,0.0500000007,0.4228616953
113.0000000000,-0.0017497857,0.0000000000,0.0500000007,0.4261290729
114.0000000000,-0.0017452585,0.0000000000,0.0500000007,0.4293964505
115.0000000000,-0.0017407312,0.0000000000,0.0500000007,0.4326637983
116.0000000000,-0.0017362039,0.0000000000,0.0500000007,0.4359312058
117.0000000000,-0.0017316766,0.0000000000,0.0500000007,0.4391979873
118.0000000000,-0.0017271494,0.0000000000,0.0500000007,0.4424665272
119.0000000000,-0.0017226221,0.0000000000,0.0500000007,0.4457333684
120.0000000000,-0.0017180948,0.0000000000,0.0500000007,0.4490007162
121.0000000000,-0.0017135675,0.0000000000,0.0500000007,0.4521473348
122.0000000000,-0.0017090403,0.0000000000,0.0500000007,0.4551599622
123.0000000000,-0.0017045130,0.0000000000,0.0500000007,0.4581726193
124.0000000000,-0.0016999857,0.0000000000,0.0500000007,0.4611852765
125.0000000000,-0.0016954584,0.0000000000,0.0500000007,0.4641979039
126.0000000000,-0.0016909312,0.0000000000,0.0500000007,0.4672105312
127.0000000000,-0.0016864039,0.0000000000,0.0500000007,0.4702231884
128.0000000000,-0.0016818766,0.0000000000,0.0500000007,0.4732358456
129.0000000000,-0.0016773493,0.0000000000,0.0500000007,0.4762485027
130.0000000000,-0.0016728221,0.0000000000,0.0500000007,0.4792611599
131.0000000000,-0.0016682948,0.0000000000,0.0500000007,0.4822737873
132.0000000000,-0.0016637675,0.0000000000,0.0500000007,0.4852864146
133.0000000000,-0.0016592402,0.0000000000,0.0500000007,0.4882990420
134.0000000000,-0.0016547129,0.0000000000,0.0500000007,0.4913116694
135.0000000000,-0.0016501857,0.0000000000,0.0500000007,0.4943243265
136.0000000000,-0.0016456584,0.0000000000,0.0500000007,0.4973370135
137.0000000000,-0.0016411311,0.0000000000,0.0500000007,0.5003496409
138.0000000000,-0.0016366038,0.0000000000,0.0500000007,0.5033622980
139.0000000000,-0.0016320766,0.0000000000,0.0500000007,0.5063748956
140.0000000000,-0.0016275493,0.0000000000,0.0500000007,0.5093875527
141.0000000000,-0.0016230220,0.0000000000,0.0500000007,0.5124002099
142.0000000000,-0.0016184947,0.0000000000,0.0500000007,0.5154128671
143.0000000000,-0.0016139675,0.0000000000,0.0500000007,0.5184255242
144.0000000000,-0.0016094402,0.0000000000,0.0500000007,0.5214381218
145.0000000000,-0.0016049129,0.0000000000,0.0500000007,0.5244507790
