Node Number, X [ m ], Y [ m ], Z [ m ], Velocity [ m s^-1 ]
76.0000000000,-0.0019172949,0.0000000000,0.0500000007,0.2984791398
77.0000000000,-0.0019127676,0.0000000000,0.0500000007,0.3019422889
78.0000000000,-0.0019082404,0.0000000000,0.0500000007,0.3054054678
79.0000000000,-0.0019037131,0.0000000000,0.0500000007,0.3088686168
80.0000000000,-0.0018991858,0.0000000000,0.0500000007,0.3123317659
81.0000000000,-0.0018946585,0.0000000000,0.0500000007,0.3157949448
82.0000000000,-0.0018901313,0.0000000000,0.0500000007,0.3192581534
83.0000000000,-0.0018856040,0.0000000000,0.0500000007,0.3227212727
84.0000000000,-0.0018810767,0.0000000000,0.0500000007,0.3261844814
85.0000000000,-0.0018765494,0.0000000000,0.0500000007,0.3296476603
86.0000000000,-0.0018720222,0.0000000000,0.0500000007,0.3331108391
87.0000000000,-0.0018674949,0.0000000000,0.0500000007,0.3365739286
88.0000000000,-0.0018629676,0.0000000000,0.0500000007,0.3400371373
89.0000000000,-0.0018584403,0.0000000000,0.0500000007,0.3435003161
90.0000000000,-0.0018539131,0.0000000000,0.0500000007,0.3469634652
91.0000000000,-0.0018493858,0.0000000000,0.0500000007,0.3504266739
92.0000000000,-0.0018448585,0.0000000000,0.0500000007,0.3538898230
93.0000000000,-0.0018403312,0.0000000000,0.0500000007,0.3573529720
94.0000000000,-0.0018358040,0.0000000000,0.0500000007,0.3608161807
95.0000000000,-0.0018312767,0.0000000000,0.0500000007,0.3642793596
96.0000000000,-0.0018267494,0.0000000000,0.0500000007,0.3677425087
97.0000000000,-0.0018222221,0.0000000000,0.0500000007,0.3712057173
98.0000000000,-0.0018176949,0.0000000000,0.0500000007,0.3746688366
99.0000000000,-0.0018131676,0.0000000000,0.0500000007,0.3781320155
100.0000000000,-0.0018086403,0.0000000000,0.0500000007,0.3815951645
101.0000000000,-0.0018041130,0.0000000000,0.0500000007,0.3850583732
102.0000000000,-0.0017995858,0.0000000000,0.0500000007,0.3885215521
103.0000000000,-0.0017950585,0.0000000000,0.0500000007,0.3919847012
104.0000000000,-0.0017905312,0.0000000000,0.0500000007,0.3954478800
105.0000000000,-0.0017860039,0.0000000000,0.0500000007,0.3989110589
106.0000000000,-0.0017814767,0.0000000000,0.0500000007,0.4023742080
107.0000000000,-0.0017769494,0.0000000000,0.0500000007,0.4056608081
108.0000000000,-0.0017724221,0.0000000000,0.0500000007,0.4086865783
109.0000000000,-0.0017678948,0.0000000000,0.0500000007,0.4117123485
110.0000000000,-0.0017633676,0.0000000000,0.0500000007,0.4147380590
111.0000000000,-0.0017588403,0.0000000000,0.0500000007,0.4177638590
112.0000000000,-0.0017543130,0.0000000000,0.0500000007,0.4207895994
113.0000000000,-0.0017497857,0.0000000000,0.0500000007,0.4238153696
114.0000000000,-0.0017452585,0.0000000000,0.0500000007,0.4268411398
115.0000000000,-0.0017407312,0.0000000000,0.0500000007,0.4298668802
116.0000000000,-0.0017362039,0.0000000000,0.0500000007,0.4328926504
117.0000000000,-0.0017316766,0.0000000000,0.0500000007,0.4359183908
118.0000000000,-0.0017271494,0.0000000000,0.0500000007,0.4389441609
119.0000000000,-0.0017226221,0.0000000000,0.0500000007,0.4419699311
120.0000000000,-0.0017180948,0.0000000000,0.0500000007,0.4449957013
121.0000000000,-0.0017135675,0.0000000000,0.0500000007,0.4480213821
122.0000000000,-0.0017090403,0.0000000000,0.0500000007,0.4510471225
123.0000000000,-0.0017045130,0.0000000000,0.0500000007,0.4540728927
124.0000000000,-0.0016999857,0.0000000000,0.0500000007,0.4570986927
125.0000000000,-0.0016954584,0.0000000000,0.0500000007,0.4601244032
126.0000000000,-0.0016909312,0.0000000000,0.0500000007,0.4631501436
127.0000000000,-0.0016864039,0.0000000000,0.0500000007,0.4661759138
128.0000000000,-0.0016818766,0.0000000000,0.0500000007,0.4692016840
129.0000000000,-0.0016773493,0.0000000000,0.0500000007,0.4722273946
130.0000000000,-0.0016728221,0.0000000000,0.0500000007,0.4752531648
131.0000000000,-0.0016682948,0.0000000000,0.0500000007,0.4782789350
132.0000000000,-0.0016637675,0.0000000000,0.0500000007,0.4813046753
133.0000000000,-0.0016592402,0.0000000000,0.0500000007,0.4843304157
134.0000000000,-0.0016547129,0.0000000000,0.0500000007,0.4873561859
135.0000000000,-0.0016501857,0.0000000000,0.0500000007,0.4903819561
136.0000000000,-0.0016456584,0.0000000000,0.0500000007,0.4934077263
137.0000000000,-0.0016411311,0.0000000000,0.0500000007,0.4964334667
138.0000000000,-0.0016366038,0.0000000000,0.0500000007,0.4994592071
139.0000000000,-0.0016320766,0.0000000000,0.0500000007,0.5024849773
140.0000000000,-0.0016275493,0.0000000000,0.0500000007,0.5055107474
141.0000000000,-0.0016230220,0.0000000000,0.0500000007,0.5085364580
142.0000000000,-0.0016184947,0.0000000000,0.0500000007,0.5115622282
143.0000000000,-0.0016139675,0.0000000000,0.0500000007,0.5145879388
144.0000000000,-0.0016094402,0.0000000000,0.0500000007,0.5176137090
145.0000000000,-0.0016049129,0.0000000000,0.0500000007,0.5206394196
146.0000000000,-0.0016003856,0.0000000000,0.0500000007,0.5236652494
147.0000000000,-0.0015958584,0.0000000000,0.0500000007,0.5266909599
148.0000000000,-0.0015913311,0.0000000000,0.0500000007,0.5297167301
149.0000000000,-0.0015868038,0.0000000000,0.0500000007,0.5327425003
150.0000000000,-0.0015822765,0.0000000000,0.0500000007,0.5357682705
