"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.69949,0,0,0,1,0,0,-0.00227,0.14
0.69949,2.3438e-17,3.5332e-10,0.0038026,1,4.54e-06,0,-0.0022655,0.14
0.69949,4.6876e-17,7.0664e-10,0.0076051,1,9.0799e-06,0,-0.0022609,0.14
0.69949,7.0313e-17,1.06e-09,0.011408,1,1.362e-05,0,-0.0022564,0.14
0.69949,9.3752e-17,1.4133e-09,0.01521,1,1.816e-05,0,-0.0022518,0.14
0.69949,1.1719e-16,1.7666e-09,0.019013,1,2.27e-05,0,-0.0022473,0.14
0.69949,1.4063e-16,2.1199e-09,0.022816,1,2.724e-05,0,-0.0022428,0.14
0.69949,1.6407e-16,2.4733e-09,0.026618,1,3.178e-05,0,-0.0022382,0.14
0.69949,1.875e-16,2.8266e-09,0.030421,1,3.632e-05,0,-0.0022337,0.14
0.69949,2.1094e-16,3.1799e-09,0.034223,1,4.086e-05,0,-0.0022291,0.14
0.69949,2.3438e-16,3.5332e-09,0.038026,1,4.54e-05,0,-0.0022246,0.14
0.69949,2.5782e-16,3.8866e-09,0.041829,1,4.994e-05,0,-0.0022201,0.14
0.69949,2.8126e-16,4.2399e-09,0.045631,1,5.448e-05,0,-0.0022155,0.14
0.69949,3.0469e-16,4.5932e-09,0.049434,1,5.902e-05,0,-0.002211,0.14
0.69949,3.2813e-16,4.9465e-09,0.053236,1,6.356e-05,0,-0.0022064,0.14
0.69949,3.5157e-16,5.2998e-09,0.057039,1,6.81e-05,0,-0.0022019,0.14
0.69949,3.7501e-16,5.6532e-09,0.060841,1,7.264e-05,0,-0.0021974,0.14
0.69949,3.9845e-16,6.0065e-09,0.064644,1,7.718e-05,0,-0.0021928,0.14
0.69949,4.2188e-16,6.3598e-09,0.068447,1,8.172e-05,0,-0.0021883,0.14
0.69949,4.4532e-16,6.7131e-09,0.072249,1,8.626e-05,0,-0.0021837,0.14
0.69949,4.6876e-16,7.0665e-09,0.076052,1,9.08e-05,0,-0.0021792,0.14
0.69949,4.922e-16,7.4198e-09,0.079854,1,9.534e-05,0,-0.0021747,0.14
0.69949,5.1563e-16,7.7731e-09,0.083657,1,9.988e-05,0,-0.0021701,0.14
0.69949,5.3907e-16,8.1264e-09,0.087459,1,0.00010442,0,-0.0021656,0.14
0.69949,5.6251e-16,8.4798e-09,0.091262,1,0.00010896,0,-0.002161,0.14
0.69949,5.8595e-16,8.8331e-09,0.095065,1,0.0001135,0,-0.0021565,0.14
0.69949,6.196e-16,9.1864e-09,0.098867,1,0.00011804,0,-0.002152,0.14
0.69949,6.3465e-16,9.5397e-09,0.10267,1,0.00012258,0,-0.0021474,0.14
0.69949,6.5626e-16,9.8931e-09,0.10647,1,0.00012712,0,-0.0021429,0.14
0.69949,6.797e-16,1.0246e-08,0.11027,1,0.00013166,0,-0.0021383,0.14
0.69949,7.0314e-16,1.06e-08,0.11408,1,0.0001362,0,-0.0021338,0.14
0.69949,7.2658e-16,1.0953e-08,0.11788,1,0.00014074,0,-0.0021293,0.14
0.69949,7.5001e-16,1.1306e-08,0.12168,1,0.00014528,0,-0.0021247,0.14
0.69949,7.7345e-16,1.166e-08,0.12549,1,0.00014982,0,-0.0021202,0.14
0.69949,7.9689e-16,1.2013e-08,0.12929,1,0.00015436,0,-0.0021156,0.14
0.69949,8.2033e-16,1.2366e-08,0.13309,1,0.0001589,0,-0.0021111,0.14
0.69949,8.4377e-16,1.272e-08,0.13689,1,0.00016344,0,-0.0021066,0.14
0.69949,8.672e-16,1.3073e-08,0.1407,1,0.00016798,0,-0.002102,0.14
0.69949,8.9064e-16,1.3426e-08,0.1445,1,0.00017252,0,-0.0020975,0.14
0.69949,9.1408e-16,1.378e-08,0.1483,1,0.00017706,0,-0.0020929,0.14
0.69949,9.3752e-16,1.4133e-08,0.1521,1,0.0001816,0,-0.0020884,0.14
0.69949,9.6096e-16,1.4486e-08,0.15591,1,0.00018614,0,-0.0020839,0.14
0.69949,9.8439e-16,1.484e-08,0.15971,1,0.00019068,0,-0.0020793,0.14
0.69949,1.0078e-15,1.5193e-08,0.16351,1,0.00019522,0,-0.0020748,0.14
0.69949,1.0313e-15,1.5546e-08,0.16731,1,0.00019976,0,-0.0020702,0.14
0.69949,1.0547e-15,1.59e-08,0.17112,1,0.0002043,0,-0.0020657,0.14
0.69949,1.0781e-15,1.6253e-08,0.17492,1,0.00020884,0,-0.0020612,0.14
0.69949,1.1016e-15,1.6606e-08,0.17872,1,0.00021338,0,-0.0020566,0.14
0.69949,1.125e-15,1.696e-08,0.18252,1,0.00021792,0,-0.0020521,0.14
0.69949,1.1485e-15,1.7313e-08,0.18633,1,0.00022246,0,-0.0020475,0.14
0.69949,1.1719e-15,1.7666e-08,0.19013,1,0.000227,0,-0.002043,0.14
0.69949,1.1953e-15,1.8019e-08,0.19393,1,0.00023154,0,-0.0020385,0.14
0.69949,1.2188e-15,1.8373e-08,0.19773,1,0.00023608,0,-0.0020339,0.14
0.69949,1.2422e-15,1.8726e-08,0.20154,1,0.00024062,0,-0.0020294,0.14
0.69949,1.2519e-15,1.9289e-08,0.20512,1,0.00024516,0,-0.0020248,0.14
