"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.6333,7.8502e-20,1.1927e-05,0.2503,1,0.00030418,0,-0.0019658,0.06
1.6333,5.7891e-20,1.2225e-05,0.25373,1,0.00030872,0,-0.0019613,0.06
1.6333,4.1139e-20,1.2522e-05,0.25716,1,0.00031326,0,-0.0019567,0.06
1.6333,2.7736e-20,1.2819e-05,0.26059,1,0.0003178,0,-0.0019522,0.06
1.6333,1.7102e-20,1.3117e-05,0.26403,1,0.00032234,0,-0.0019477,0.06
1.6333,9.4462e-21,1.3414e-05,0.26746,1,0.00032688,0,-0.0019431,0.06
1.6333,3.2273e-21,1.3711e-05,0.27089,1,0.00033142,0,-0.0019386,0.06
1.6333,-5.5812e-22,1.4009e-05,0.27432,1,0.00033596,0,-0.001934,0.06
1.6333,-3.573e-21,1.4306e-05,0.27775,1,0.0003405,0,-0.0019295,0.06
1.6333,-4.8381e-21,1.4603e-05,0.28118,1,0.00034504,0,-0.001925,0.06
1.6333,-6.1379e-21,1.4901e-05,0.28461,1,0.00034958,0,-0.0019204,0.06
1.6333,-6.5108e-21,1.5198e-05,0.28805,1,0.00035412,0,-0.0019159,0.06
1.6333,-6.8836e-21,1.5495e-05,0.29148,1,0.00035866,0,-0.0019113,0.06
1.6333,6.7525e-16,1.5793e-05,0.29491,1,0.0003632,0,-0.0019068,0.06
1.6333,3.6223e-14,1.609e-05,0.29834,1,0.00036774,0,-0.0019023,0.06
1.6333,-8.002e-21,1.6387e-05,0.30177,1,0.00037228,0,-0.0018977,0.06
1.6333,-8.3748e-21,1.6685e-05,0.3052,1,0.00037682,0,-0.0018932,0.06
1.6333,-7.6815e-21,1.6982e-05,0.30864,1,0.00038136,0,-0.0018886,0.06
1.6333,-6.9535e-21,1.7279e-05,0.31207,1,0.0003859,0,-0.0018841,0.06
1.6333,-3.9889e-21,1.7577e-05,0.3155,1,0.00039044,0,-0.0018796,0.06
1.6333,1.983e-22,1.7874e-05,0.31893,1,0.00039498,0,-0.001875,0.06
1.6333,7.9315e-21,1.8171e-05,0.32236,1,0.00039952,0,-0.0018705,0.06
1.6333,1.8214e-20,1.8469e-05,0.32579,1,0.00040406,0,-0.0018659,0.06
1.6333,3.4662e-20,1.8766e-05,0.32922,1,0.0004086,0,-0.0018614,0.06
1.6333,5.7535e-20,1.9063e-05,0.33266,1,0.00041314,0,-0.0018569,0.06
1.6333,8.83e-20,1.9361e-05,0.33609,1,0.00041768,0,-0.0018523,0.06
1.6333,1.2971e-19,1.9658e-05,0.33952,1,0.00042222,0,-0.0018478,0.06
1.6333,1.8344e-19,1.9955e-05,0.34295,1,0.00042676,0,-0.0018432,0.06
1.6333,2.5119e-19,2.0253e-05,0.34638,1,0.0004313,0,-0.0018387,0.06
1.6333,3.3605e-19,2.055e-05,0.34981,1,0.00043584,0,-0.0018342,0.06
1.6333,4.4123e-19,2.0847e-05,0.35324,1,0.00044038,0,-0.0018296,0.06
1.6333,5.7137e-19,2.1145e-05,0.35668,1,0.00044492,0,-0.0018251,0.06
1.6333,7.2738e-19,2.1442e-05,0.36011,1,0.00044946,0,-0.0018205,0.06
1.6333,9.1551e-19,2.1739e-05,0.36354,1,0.000454,0,-0.001816,0.06
1.6333,1.1396e-18,2.2037e-05,0.36697,1,0.00045854,0,-0.0018115,0.06
1.6333,1.4049e-18,2.2334e-05,0.3704,1,0.00046308,0,-0.0018069,0.06
1.6333,1.7171e-18,2.2631e-05,0.37383,1,0.00046762,0,-0.0018024,0.06
1.6333,2.0804e-18,2.2929e-05,0.37726,1,0.00047216,0,-0.0017978,0.06
1.6333,2.5023e-18,2.3226e-05,0.3807,1,0.0004767,0,-0.0017933,0.06
1.6333,2.9888e-18,2.3523e-05,0.38413,1,0.00048124,0,-0.0017888,0.06
1.6333,-4.5361e-15,2.3843e-05,0.3875,1,0.00048578,0,-0.0017842,0.06
1.6333,-7.211e-16,2.4273e-05,0.39056,1,0.00049032,0,-0.0017797,0.06
1.6333,-1.2622e-15,2.4704e-05,0.39363,1,0.00049486,0,-0.0017751,0.06
1.6333,-9.1979e-13,2.5134e-05,0.39669,1,0.0004994,0,-0.0017706,0.06
1.6333,-8.8514e-13,2.5564e-05,0.39976,1,0.00050394,0,-0.0017661,0.06
1.6333,-3.0454e-17,2.5994e-05,0.40283,1,0.00050848,0,-0.0017615,0.06
1.6333,-3.7878e-14,2.6424e-05,0.40589,1,0.00051302,0,-0.001757,0.06
1.6333,-1.8856e-13,2.6854e-05,0.40896,1,0.00051756,0,-0.0017524,0.06
1.6333,-4.093e-14,2.7284e-05,0.41203,1,0.0005221,0,-0.0017479,0.06
1.6333,-6.2124e-17,2.7714e-05,0.41509,1,0.00052664,0,-0.0017434,0.06
