"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8704,0,0,0,1,0,0,-0.00227,0.04
1.8704,3.0685e-20,6.8174e-07,0.0038514,1,4.54e-06,0,-0.0022655,0.04
1.8704,5.2661e-20,1.3635e-06,0.0077028,1,9.0799e-06,0,-0.0022609,0.04
1.8704,6.7458e-20,2.0452e-06,0.011554,1,1.362e-05,0,-0.0022564,0.04
1.8704,7.6048e-20,2.727e-06,0.015406,1,1.816e-05,0,-0.0022518,0.04
1.8704,8.0004e-20,3.4088e-06,0.019257,1,2.27e-05,0,-0.0022473,0.04
1.8704,8.0162e-20,4.0905e-06,0.023108,1,2.724e-05,0,-0.0022428,0.04
1.8704,7.7309e-20,4.7722e-06,0.02696,1,3.178e-05,0,-0.0022382,0.04
1.8704,7.2048e-20,5.454e-06,0.030811,1,3.632e-05,0,-0.0022337,0.04
1.8704,6.5628e-20,6.1357e-06,0.034663,1,4.086e-05,0,-0.0022291,0.04
1.8704,5.856e-20,6.8175e-06,0.038514,1,4.54e-05,0,-0.0022246,0.04
1.8704,5.0658e-20,7.4992e-06,0.042366,1,4.994e-05,0,-0.0022201,0.04
1.8704,4.3034e-20,8.181e-06,0.046217,1,5.448e-05,0,-0.0022155,0.04
1.8704,3.578e-20,8.8627e-06,0.050068,1,5.902e-05,0,-0.002211,0.04
1.8704,2.8805e-20,9.5445e-06,0.05392,1,6.356e-05,0,-0.0022064,0.04
1.8704,2.3219e-20,1.0226e-05,0.057771,1,6.81e-05,0,-0.0022019,0.04
1.8704,1.8096e-20,1.0908e-05,0.061622,1,7.264e-05,0,-0.0021974,0.04
1.8704,1.3715e-20,1.159e-05,0.065474,1,7.718e-05,0,-0.0021928,0.04
1.8704,9.5184e-21,1.2271e-05,0.069325,1,8.172e-05,0,-0.0021883,0.04
1.8704,7.4068e-21,1.2953e-05,0.073177,1,8.626e-05,0,-0.0021837,0.04
1.8704,5.0172e-21,1.3635e-05,0.077028,1,9.08e-05,0,-0.0021792,0.04
1.8704,4.2953e-21,1.4317e-05,0.08088,1,9.534e-05,0,-0.0021747,0.04
1.8704,3.4807e-21,1.4998e-05,0.084731,1,9.988e-05,0,-0.0021701,0.04
1.8704,2.5734e-21,1.568e-05,0.088582,1,0.00010442,0,-0.0021656,0.04
1.8704,2.6853e-21,1.6362e-05,0.092434,1,0.00010896,0,-0.002161,0.04
1.8704,2.7972e-21,1.7044e-05,0.096285,1,0.0001135,0,-0.0021565,0.04
1.8704,1.9787e-14,1.7725e-05,0.10014,1,0.00011804,0,-0.002152,0.04
1.8704,3.5342e-15,1.8407e-05,0.10399,1,0.00012258,0,-0.0021474,0.04
1.8704,3.1329e-21,1.9089e-05,0.10784,1,0.00012712,0,-0.0021429,0.04
1.8704,3.2448e-21,1.9771e-05,0.11169,1,0.00013166,0,-0.0021383,0.04
1.8704,3.3567e-21,2.0452e-05,0.11554,1,0.0001362,0,-0.0021338,0.04
1.8704,4.9046e-21,2.1134e-05,0.11939,1,0.00014074,0,-0.0021293,0.04
1.8704,5.0628e-21,2.1816e-05,0.12325,1,0.00014528,0,-0.0021247,0.04
1.8704,8.2784e-21,2.2498e-05,0.1271,1,0.00014982,0,-0.0021202,0.04
1.8704,1.1679e-20,2.3179e-05,0.13095,1,0.00015436,0,-0.0021156,0.04
1.8704,1.8508e-20,2.3861e-05,0.1348,1,0.0001589,0,-0.0021111,0.04
1.8704,2.7375e-20,2.4543e-05,0.13865,1,0.00016344,0,-0.0021066,0.04
1.8704,4.0133e-20,2.5225e-05,0.1425,1,0.00016798,0,-0.002102,0.04
1.8704,5.8821e-20,2.5906e-05,0.14635,1,0.00017252,0,-0.0020975,0.04
1.8704,8.2048e-20,2.6588e-05,0.1502,1,0.00017706,0,-0.0020929,0.04
1.8704,1.1565e-19,2.727e-05,0.15406,1,0.0001816,0,-0.0020884,0.04
1.8704,1.5653e-19,2.7952e-05,0.15791,1,0.00018614,0,-0.0020839,0.04
1.8704,2.1093e-19,2.8633e-05,0.16176,1,0.00019068,0,-0.0020793,0.04
1.8704,2.777e-19,2.9315e-05,0.16561,1,0.00019522,0,-0.0020748,0.04
1.8704,3.6161e-19,2.9997e-05,0.16946,1,0.00019976,0,-0.0020702,0.04
1.8704,4.6364e-19,3.0679e-05,0.17331,1,0.0002043,0,-0.0020657,0.04
1.8704,5.8901e-19,3.136e-05,0.17716,1,0.00020884,0,-0.0020612,0.04
1.8704,7.4115e-19,3.2042e-05,0.18102,1,0.00021338,0,-0.0020566,0.04
1.8704,9.2146e-19,3.2724e-05,0.18487,1,0.00021792,0,-0.0020521,0.04
1.8704,1.1359e-18,3.3406e-05,0.18872,1,0.00022246,0,-0.0020475,0.04
1.8704,1.3883e-18,3.4087e-05,0.19257,1,0.000227,0,-0.002043,0.04
1.8704,1.6854e-18,3.4769e-05,0.19642,1,0.00023154,0,-0.0020385,0.04
1.8704,2.0292e-18,3.5451e-05,0.20027,1,0.00023608,0,-0.0020339,0.04
1.8704,2.4316e-18,3.6133e-05,0.20412,1,0.00024062,0,-0.0020294,0.04
1.8704,3.8335e-18,3.7221e-05,0.20774,1,0.00024516,0,-0.0020248,0.04
1.8704,3.4065e-18,3.8598e-05,0.21119,1,0.0002497,0,-0.0020203,0.04
1.8704,3.0044e-18,3.9974e-05,0.21464,1,0.00025424,0,-0.0020158,0.04
1.8704,2.6298e-18,4.135e-05,0.21809,1,0.00025878,0,-0.0020112,0.04
1.8704,2.2821e-18,4.2726e-05,0.22154,1,0.00026332,0,-0.0020067,0.04
1.8704,1.963e-18,4.4103e-05,0.22499,1,0.00026786,0,-0.0020021,0.04
1.8704,1.6708e-18,4.5479e-05,0.22844,1,0.0002724,0,-0.0019976,0.04
1.8704,1.4094e-18,4.6855e-05,0.23189,1,0.00027694,0,-0.0019931,0.04
1.8704,1.1732e-18,4.8231e-05,0.23534,1,0.00028148,0,-0.0019885,0.04
1.8704,9.6531e-19,4.9608e-05,0.23879,1,0.00028602,0,-0.001984,0.04
1.8704,7.8228e-19,5.0984e-05,0.24224,1,0.00029056,0,-0.0019794,0.04
1.8704,6.2332e-19,5.236e-05,0.24569,1,0.0002951,0,-0.0019749,0.04
1.8704,4.8739e-19,5.3736e-05,0.24914,1,0.00029964,0,-0.0019704,0.04
1.8704,3.7309e-19,5.5113e-05,0.25259,1,0.00030418,0,-0.0019658,0.04
1.8704,2.787e-19,5.6489e-05,0.25604,1,0.00030872,0,-0.0019613,0.04
