"p","U:0","U:1","U:2","U_0:0","U_0:1","U_0:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.011658,-1.0543e-17,2.3767e-09,0.95219,-6.245e-17,2.3767e-09,0.95219,-6.7472e-14,-3.4309e-12,-2.3724e-10,-6.7472e-14,-3.4309e-12,-2.3724e-10,1,0.0015436,0,-0.0007264,0.199
0.011658,-9.6626e-18,2.3744e-09,0.95374,-6.245e-17,2.3744e-09,0.95374,-7.2792e-14,-3.4073e-12,-2.3782e-10,-7.2792e-14,-3.4073e-12,-2.3782e-10,1,0.0015481,0,-0.00072186,0.199
0.011658,-8.7824e-18,2.3721e-09,0.95529,-6.245e-17,2.3721e-09,0.95529,-7.8113e-14,-3.3837e-12,-2.384e-10,-7.8113e-14,-3.3837e-12,-2.384e-10,1,0.0015527,0,-0.00071732,0.199
0.011658,-7.9023e-18,2.3698e-09,0.95684,-6.245e-17,2.3698e-09,0.95684,-8.3434e-14,-3.36e-12,-2.3898e-10,-8.3434e-14,-3.36e-12,-2.3898e-10,1,0.0015572,0,-0.00071278,0.199
0.011658,-7.0221e-18,2.3675e-09,0.95839,-6.245e-17,2.3675e-09,0.95839,-8.8754e-14,-3.3364e-12,-2.3956e-10,-8.8754e-14,-3.3364e-12,-2.3956e-10,1,0.0015618,0,-0.00070824,0.199
0.011658,-6.142e-18,2.3653e-09,0.95994,-6.245e-17,2.3653e-09,0.95994,-9.4075e-14,-3.3128e-12,-2.4014e-10,-9.4075e-14,-3.3128e-12,-2.4014e-10,1,0.0015663,0,-0.0007037,0.199
0.011658,-5.2618e-18,2.363e-09,0.96149,-6.245e-17,2.363e-09,0.96149,-9.9396e-14,-3.2891e-12,-2.4072e-10,-9.9396e-14,-3.2891e-12,-2.4072e-10,1,0.0015708,0,-0.00069916,0.199
0.011658,-4.3817e-18,2.3607e-09,0.96304,-6.245e-17,2.3607e-09,0.96304,-1.0472e-13,-3.2655e-12,-2.413e-10,-1.0472e-13,-3.2655e-12,-2.413e-10,1,0.0015754,0,-0.00069462,0.199
0.011658,-3.5015e-18,2.3584e-09,0.96459,-6.245e-17,2.3584e-09,0.96459,-1.1004e-13,-3.2419e-12,-2.4189e-10,-1.1004e-13,-3.2419e-12,-2.4189e-10,1,0.0015799,0,-0.00069008,0.199
0.011658,-2.6213e-18,2.3561e-09,0.96614,-6.245e-17,2.3561e-09,0.96614,-1.1536e-13,-3.2182e-12,-2.4247e-10,-1.1536e-13,-3.2182e-12,-2.4247e-10,1,0.0015845,0,-0.00068554,0.199
0.011658,-1.7411e-18,2.3539e-09,0.96769,-6.2449e-17,2.3539e-09,0.96769,-1.2068e-13,-3.1946e-12,-2.4305e-10,-1.2068e-13,-3.1946e-12,-2.4305e-10,1,0.001589,0,-0.000681,0.199
0.011658,-8.6096e-19,2.3516e-09,0.96924,-6.2449e-17,2.3516e-09,0.96924,-1.26e-13,-3.1709e-12,-2.4363e-10,-1.26e-13,-3.1709e-12,-2.4363e-10,1,0.0015935,0,-0.00067646,0.199
0.011658,-1.7794e-20,2.3491e-09,0.97078,-6.2486e-17,2.3491e-09,0.97078,-1.3109e-13,-3.147e-12,-2.4421e-10,-1.3109e-13,-3.147e-12,-2.4421e-10,1,0.0015981,0,-0.00067192,0.199
0.011658,-8.6869e-19,2.3366e-09,0.97168,-6.4187e-17,2.3366e-09,0.97168,-1.2562e-13,-3.1079e-12,-2.4453e-10,-1.2562e-13,-3.1079e-12,-2.4453e-10,1,0.0016026,0,-0.00066738,0.199
0.011658,-1.7196e-18,2.3242e-09,0.97258,-6.5889e-17,2.3242e-09,0.97258,-1.2014e-13,-3.0688e-12,-2.4486e-10,-1.2014e-13,-3.0688e-12,-2.4486e-10,1,0.0016072,0,-0.00066284,0.199
0.011658,-2.5705e-18,2.3117e-09,0.97349,-6.7591e-17,2.3117e-09,0.97349,-1.1467e-13,-3.0297e-12,-2.4519e-10,-1.1467e-13,-3.0297e-12,-2.4519e-10,1,0.0016117,0,-0.0006583,0.199
0.011658,-3.4213e-18,2.2992e-09,0.97439,-6.9293e-17,2.2992e-09,0.97439,-1.0919e-13,-2.9906e-12,-2.4552e-10,-1.0919e-13,-2.9906e-12,-2.4552e-10,1,0.0016162,0,-0.00065376,0.199
0.011658,-4.2722e-18,2.2867e-09,0.97529,-7.0995e-17,2.2867e-09,0.97529,-1.0371e-13,-2.9515e-12,-2.4585e-10,-1.0371e-13,-2.9515e-12,-2.4585e-10,1,0.0016208,0,-0.00064922,0.199
0.011658,-5.1231e-18,2.2743e-09,0.9762,-7.2696e-17,2.2743e-09,0.9762,-9.8238e-14,-2.9124e-12,-2.4618e-10,-9.8238e-14,-2.9124e-12,-2.4618e-10,1,0.0016253,0,-0.00064468,0.199
0.011658,-5.974e-18,2.2618e-09,0.9771,-7.4398e-17,2.2618e-09,0.9771,-9.2762e-14,-2.8733e-12,-2.4651e-10,-9.2762e-14,-2.8733e-12,-2.4651e-10,1,0.0016299,0,-0.00064014,0.199
0.011658,-6.8249e-18,2.2493e-09,0.978,-7.61e-17,2.2493e-09,0.978,-8.7286e-14,-2.8342e-12,-2.4684e-10,-8.7286e-14,-2.8342e-12,-2.4684e-10,1,0.0016344,0,-0.0006356,0.199
0.011658,-7.6758e-18,2.2369e-09,0.97891,-7.7802e-17,2.2369e-09,0.97891,-8.181e-14,-2.7951e-12,-2.4717e-10,-8.181e-14,-2.7951e-12,-2.4717e-10,1,0.0016389,0,-0.00063106,0.199
0.011658,-8.5266e-18,2.2244e-09,0.97981,-7.9503e-17,2.2244e-09,0.97981,-7.6335e-14,-2.756e-12,-2.475e-10,-7.6335e-14,-2.756e-12,-2.475e-10,1,0.0016435,0,-0.00062652,0.199
0.011658,-9.3775e-18,2.2119e-09,0.98071,-8.1205e-17,2.2119e-09,0.98071,-7.0859e-14,-2.7169e-12,-2.4783e-10,-7.0859e-14,-2.7169e-12,-2.4783e-10,1,0.001648,0,-0.00062198,0.199
0.011658,-1.0228e-17,2.1995e-09,0.98162,-8.2907e-17,2.1995e-09,0.98162,-6.5383e-14,-2.6778e-12,-2.4816e-10,-6.5383e-14,-2.6778e-12,-2.4816e-10,1,0.0016526,0,-0.00061744,0.199
0.011658,-1.1079e-17,2.187e-09,0.98252,-8.4609e-17,2.187e-09,0.98252,-5.9907e-14,-2.6387e-12,-2.4849e-10,-5.9907e-14,-2.6387e-12,-2.4849e-10,1,0.0016571,0,-0.0006129,0.199
0.011658,-1.193e-17,2.1745e-09,0.98343,-8.631e-17,2.1745e-09,0.98343,-5.4431e-14,-2.5996e-12,-2.4882e-10,-5.4431e-14,-2.5996e-12,-2.4882e-10,1,0.0016616,0,-0.00060836,0.199
0.011658,-1.2781e-17,2.1621e-09,0.98433,-8.8012e-17,2.1621e-09,0.98433,-4.8955e-14,-2.5606e-12,-2.4915e-10,-4.8955e-14,-2.5606e-12,-2.4915e-10,1,0.0016662,0,-0.00060382,0.199
0.011658,-1.3632e-17,2.1496e-09,0.98523,-8.9714e-17,2.1496e-09,0.98523,-4.348e-14,-2.5215e-12,-2.4948e-10,-4.348e-14,-2.5215e-12,-2.4948e-10,1,0.0016707,0,-0.00059928,0.199
0.011658,-1.4483e-17,2.1371e-09,0.98614,-9.1416e-17,2.1371e-09,0.98614,-3.8004e-14,-2.4824e-12,-2.4981e-10,-3.8004e-14,-2.4824e-12,-2.4981e-10,1,0.0016753,0,-0.00059474,0.199
0.011658,-1.5334e-17,2.1247e-09,0.98704,-9.3117e-17,2.1247e-09,0.98704,-3.2528e-14,-2.4433e-12,-2.5014e-10,-3.2528e-14,-2.4433e-12,-2.5014e-10,1,0.0016798,0,-0.0005902,0.199
0.011658,-1.6185e-17,2.1122e-09,0.98794,-9.4819e-17,2.1122e-09,0.98794,-2.7052e-14,-2.4042e-12,-2.5047e-10,-2.7052e-14,-2.4042e-12,-2.5047e-10,1,0.0016843,0,-0.00058566,0.199
0.011658,-1.7035e-17,2.0997e-09,0.98885,-9.6521e-17,2.0997e-09,0.98885,-2.1576e-14,-2.3651e-12,-2.5079e-10,-2.1576e-14,-2.3651e-12,-2.5079e-10,1,0.0016889,0,-0.00058112,0.199
0.011658,-1.7886e-17,2.0873e-09,0.98975,-9.8223e-17,2.0873e-09,0.98975,-1.61e-14,-2.326e-12,-2.5112e-10,-1.61e-14,-2.326e-12,-2.5112e-10,1,0.0016934,0,-0.00057658,0.199
0.011658,-1.8737e-17,2.0748e-09,0.99065,-9.9925e-17,2.0748e-09,0.99065,-1.0625e-14,-2.2869e-12,-2.5145e-10,-1.0625e-14,-2.2869e-12,-2.5145e-10,1,0.001698,0,-0.00057204,0.199
0.011658,-1.9588e-17,2.0623e-09,0.99156,-1.0163e-16,2.0623e-09,0.99156,-5.1487e-15,-2.2478e-12,-2.5178e-10,-5.1487e-15,-2.2478e-12,-2.5178e-10,1,0.0017025,0,-0.0005675,0.199
0.011658,-2.0439e-17,2.0499e-09,0.99246,-1.0333e-16,2.0499e-09,0.99246,3.2716e-16,-2.2087e-12,-2.5211e-10,3.2716e-16,-2.2087e-12,-2.5211e-10,1,0.001707,0,-0.00056296,0.199
0.011658,-2.129e-17,2.0374e-09,0.99337,-1.0503e-16,2.0374e-09,0.99337,5.803e-15,-2.1696e-12,-2.5244e-10,5.803e-15,-2.1696e-12,-2.5244e-10,1,0.0017116,0,-0.00055842,0.199
0.011658,-2.2141e-17,2.0249e-09,0.99427,-1.0673e-16,2.0249e-09,0.99427,1.1279e-14,-2.1305e-12,-2.5277e-10,1.1279e-14,-2.1305e-12,-2.5277e-10,1,0.0017161,0,-0.00055388,0.199
