y,U_0,U_1,U_2
-0.00214875,-5.32882e-09,2.67333e-08,0.106281
-0.00190625,-2.35756e-08,1.47795e-07,0.299656
-0.00167026,-5.42838e-08,3.77831e-07,0.472168
-0.00154901,5.42838e-08,3.77831e-07,0.472168
-0.00142125,9.17553e-08,6.5553e-07,0.627303
-0.00114708,1.38235e-07,9.47859e-07,0.794969
-0.000833088,2.0287e-07,1.03726e-06,0.926625
-0.00050541,2.70317e-07,8.2024e-07,1.01484
-0.000286535,3.13829e-07,3.13829e-07,1.05924
-0.000117133,-3.13829e-07,3.13829e-07,1.05924
0.000169402,-3.13829e-07,-3.13829e-07,1.05924
0.00050541,-2.70317e-07,-8.2024e-07,1.01484
0.000833088,-2.0287e-07,-1.03726e-06,0.926625
0.00114708,-1.38235e-07,-9.47859e-07,0.794969
0.00142125,-9.17553e-08,-6.5553e-07,0.627303
0.00166375,-5.42838e-08,-3.77831e-07,0.472168
0.00190625,-2.35756e-08,-1.47795e-07,0.299656
