y,U_0,U_1,U_2
-0.00214875,-1.12231e-09,5.6304e-09,0.106278
-0.00190625,-4.96524e-09,3.11273e-08,0.299649
-0.00175751,-1.14326e-08,7.95753e-08,0.47216
-0.00163626,1.14326e-08,7.95753e-08,0.47216
-0.00142125,1.93244e-08,1.38061e-07,0.627297
-0.00114708,2.91135e-08,1.99628e-07,0.794972
-0.000833088,4.27261e-08,2.18455e-07,0.926639
-0.00050541,5.69312e-08,1.7275e-07,1.01487
-0.000183782,6.60953e-08,6.60953e-08,1.05927
-1.43803e-05,-6.60952e-08,6.60953e-08,1.05927
0.000169402,-6.60952e-08,-6.60953e-08,1.05927
0.00050541,-5.69312e-08,-1.7275e-07,1.01487
0.000833088,-4.27261e-08,-2.18455e-07,0.926639
0.00114708,-2.91135e-08,-1.99628e-07,0.794972
0.00142125,-1.93244e-08,-1.38061e-07,0.627297
0.00166375,-1.14326e-08,-7.95753e-08,0.47216
0.00190625,-4.96524e-09,-3.11273e-08,0.299649
0.00214875,-1.12231e-09,-5.6304e-09,0.106278
