y,U_0,U_1,U_2
-0.00219773,-1.1876e-11,2.91335e-06,0.0631449
-0.0020594,-2.07728e-11,1.69691e-05,0.181522
-0.00192108,-2.50887e-11,4.5966e-05,0.292239
-0.00178276,-2.80323e-11,8.62275e-05,0.39569
-0.00164444,-3.00551e-11,0.0001339,0.492423
-0.00150611,-3.02402e-11,0.000185468,0.583251
-0.00136779,-2.64088e-11,0.000236987,0.669481
-0.00121833,-1.72967e-11,0.000288158,0.75973
-0.00105508,-8.98437e-12,0.000323914,0.84078
-0.000886904,-2.29933e-12,0.000335921,0.908402
-0.000714574,-1.2073e-12,0.000319839,0.96308
-0.000538891,4.59191e-13,0.000274073,1.00518
-0.000360675,-1.09683e-12,0.000200798,1.03502
-0.000180763,-4.16016e-12,0.000106224,1.05281
6.77626e-21,-6.3765e-12,1.65837e-11,1.05874
0.000180763,-6.69968e-12,-0.000106224,1.05281
0.000360675,-5.70816e-12,-0.000200798,1.03502
0.000538891,-4.9623e-12,-0.000274073,1.00518
0.000714574,-2.40908e-13,-0.000319839,0.96308
0.000886904,3.00266e-13,-0.000335921,0.908402
0.00105508,-5.8156e-12,-0.000323914,0.84078
0.00121833,-1.69478e-11,-0.000288158,0.75973
0.00136779,-2.85979e-11,-0.000236987,0.669481
0.00150611,-3.07904e-11,-0.000185468,0.583251
0.00164444,-3.03077e-11,-0.0001339,0.492423
0.00178276,-2.81936e-11,-8.62275e-05,0.39569
0.00192108,-2.46576e-11,-4.5966e-05,0.292239
0.0020594,-1.91709e-11,-1.69691e-05,0.181522
0.00219773,-9.44686e-12,-2.91336e-06,0.0631449
