y,U_0,U_1,U_2
-0.00219773,5.73644e-13,7.0811e-08,0.0624214
-0.0020594,5.02711e-13,4.30165e-07,0.179656
-0.00192108,1.38049e-13,1.18769e-06,0.28957
-0.00178276,-5.3772e-14,2.24803e-06,0.392602
-0.00164444,1.07799e-13,3.50882e-06,0.489352
-0.00150611,6.58697e-13,4.87688e-06,0.580685
-0.00136779,1.57259e-12,6.24766e-06,0.667954
-0.00121833,2.78233e-12,7.61253e-06,0.759939
-0.00105508,2.61212e-12,8.56976e-06,0.843288
-0.000886904,2.50582e-12,8.89736e-06,0.913556
-0.000714574,2.86392e-12,8.47898e-06,0.971013
-0.000538891,3.894e-12,7.27082e-06,1.01576
-0.000360675,4.35246e-12,5.32969e-06,1.04778
-0.000180763,4.81462e-12,2.82037e-06,1.06703
0,4.92668e-12,-1.8638e-11,1.07346
0.000180763,4.45194e-12,-2.8204e-06,1.06703
0.000360675,3.5571e-12,-5.32973e-06,1.04778
0.000538891,2.70895e-12,-7.27085e-06,1.01576
0.000714574,2.34448e-12,-8.47902e-06,0.971013
0.000886904,2.31752e-12,-8.89739e-06,0.913556
0.00105508,1.5565e-12,-8.56978e-06,0.843288
0.00121833,6.32076e-13,-7.61254e-06,0.759939
0.00136779,-9.39241e-13,-6.24767e-06,0.667954
0.00150611,-1.3753e-12,-4.8769e-06,0.580685
0.00164444,-1.65948e-12,-3.50883e-06,0.489352
0.00178276,-1.60411e-12,-2.24803e-06,0.392602
0.00192108,-1.06799e-12,-1.18769e-06,0.28957
0.0020594,-1.35e-13,-4.30165e-07,0.179656
0.00219773,6.21036e-13,-7.08101e-08,0.0624214
