"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.11618,0,0,0,1,0,0,-0.0022669,0.09
0.11618,-3.3532e-13,3.3928e-07,0.13962,1,0.00016192,0,-0.002105,0.09
0.11618,-8.4856e-13,1.1051e-06,0.26993,1,0.00032384,0,-0.001943,0.09
0.11618,-1.1995e-12,2.2891e-06,0.39098,1,0.00048576,0,-0.0017811,0.09
0.11618,-1.1671e-12,3.7437e-06,0.50368,1,0.00064768,0,-0.0016192,0.09
0.11618,-3.6902e-13,5.3212e-06,0.60939,1,0.0008096,0,-0.0014573,0.09
0.11618,8.0447e-13,6.905e-06,0.71363,1,0.00097152,0,-0.0012954,0.09
0.11618,1.2245e-12,8.0535e-06,0.80179,1,0.0011334,0,-0.0011334,0.09
0.11618,1.3075e-12,8.6637e-06,0.87634,1,0.0012954,0,-0.00097152,0.09
0.11618,1.3345e-12,8.6137e-06,0.93672,1,0.0014573,0,-0.0008096,0.09
0.11618,1.6624e-12,7.8946e-06,0.98464,1,0.0016192,0,-0.00064768,0.09
0.11618,2.4783e-12,6.5508e-06,1.0211,1,0.0017811,0,-0.00048576,0.09
0.11618,3.2732e-12,4.683e-06,1.0468,1,0.001943,0,-0.00032384,0.09
0.11618,3.2495e-12,2.4394e-06,1.062,1,0.002105,0,-0.00016192,0.09
0.11618,3.0127e-12,-1.8133e-11,1.0671,1,0.0022669,0,0,0.09
0.11618,3.0683e-12,-2.4394e-06,1.062,1,0.0024288,0,0.00016192,0.09
0.11618,2.9387e-12,-4.683e-06,1.0468,1,0.0025907,0,0.00032384,0.09
0.11618,1.8984e-12,-6.5508e-06,1.0211,1,0.0027527,0,0.00048576,0.09
0.11618,6.1538e-13,-7.8946e-06,0.98464,1,0.0029146,0,0.00064768,0.09
0.11618,5.5983e-13,-8.6138e-06,0.93672,1,0.0030765,0,0.0008096,0.09
0.11618,9.6482e-13,-8.6637e-06,0.87634,1,0.0032384,0,0.00097152,0.09
0.11618,-2.7727e-13,-8.0535e-06,0.80179,1,0.0034003,0,0.0011334,0.09
0.11618,-1.9833e-12,-6.905e-06,0.71363,1,0.0035623,0,0.0012954,0.09
0.11618,-2.6562e-12,-5.3212e-06,0.60939,1,0.0037242,0,0.0014573,0.09
0.11618,-2.8318e-12,-3.7437e-06,0.50368,1,0.0038861,0,0.0016192,0.09
0.11618,-2.7076e-12,-2.2891e-06,0.39098,1,0.004048,0,0.0017811,0.09
0.11618,-2.0053e-12,-1.1051e-06,0.26993,1,0.0042099,0,0.001943,0.09
0.11618,-8.3661e-13,-3.3928e-07,0.13962,1,0.0043719,0,0.002105,0.09
0.11618,0,0,0,1,0.0045338,0,0.0022669,0.09
