y,U_0,U_1,U_2
-0.00219773,-3.76801e-11,1.69006e-06,0.0628343
-0.0020594,-2.39236e-11,9.83726e-06,0.180721
-0.00192108,-2.48828e-11,2.66353e-05,0.291092
-0.00178276,-6.2957e-11,4.99471e-05,0.394363
-0.00164444,-1.46988e-10,7.75362e-05,0.491103
-0.00150611,-2.8788e-10,0.000107367,0.582148
-0.00136779,-5.66759e-10,0.000137158,0.668824
-0.00121833,-1.13185e-09,0.000166733,0.75982
-0.00105508,-2.29462e-09,0.000187387,0.841858
-0.000886904,-3.636e-09,0.000194318,0.910618
-0.000714574,-1.60386e-09,0.000185012,0.966492
-0.000538891,5.27842e-10,0.000158544,1.00973
-0.000360675,1.93095e-09,0.000116166,1.04051
-0.000180763,6.98563e-10,6.14563e-05,1.05893
0,2.95875e-10,-5.22613e-10,1.06506
0.000180763,1.45697e-09,-6.14567e-05,1.05893
0.000360675,2.51783e-09,-0.000116165,1.04051
0.000538891,-2.23469e-11,-0.000158543,1.00973
0.000714574,-6.88454e-10,-0.000185011,0.966492
0.000886904,-2.80586e-09,-0.000194318,0.910618
0.00105508,-1.7367e-09,-0.000187389,0.841858
0.00121833,-9.11937e-10,-0.000166735,0.75982
0.00136779,-6.94301e-10,-0.000137158,0.668824
0.00150611,-5.25831e-10,-0.000107368,0.582148
0.00164444,-3.74651e-10,-7.75362e-05,0.491103
0.00178276,-2.42069e-10,-4.99471e-05,0.394363
0.00192108,-1.48893e-10,-2.66353e-05,0.291092
0.0020594,-9.78708e-11,-9.8373e-06,0.180721
0.00219773,-5.97865e-11,-1.69008e-06,0.0628343
