"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.023056,0,0,0,1,0,0,-0.0022669,0.098
0.023056,-2.5729e-12,9.8487e-07,0.13961,1,0.00016192,0,-0.002105,0.098
0.023056,-4.9427e-12,3.8132e-06,0.26991,1,0.00032384,0,-0.001943,0.098
0.023056,-6.7605e-12,7.8983e-06,0.39096,1,0.00048576,0,-0.0017811,0.098
0.023055,-7.5398e-12,1.1884e-05,0.50366,1,0.00064768,0,-0.0016192,0.098
0.023053,-7.4841e-12,1.5119e-05,0.60939,1,0.0008096,0,-0.0014573,0.098
0.023051,-6.8281e-12,1.7433e-05,0.71363,1,0.00097152,0,-0.0012954,0.098
0.023049,-7.134e-12,1.8203e-05,0.80182,1,0.0011334,0,-0.0011334,0.098
0.023046,-6.1359e-12,1.7692e-05,0.87641,1,0.0012954,0,-0.00097152,0.098
0.023043,-5.2719e-12,1.6195e-05,0.93682,1,0.0014573,0,-0.0008096,0.098
0.02304,-9.8524e-12,1.3909e-05,0.98477,1,0.0016192,0,-0.00064768,0.098
0.023038,-9.3679e-12,1.0988e-05,1.0213,1,0.0017811,0,-0.00048576,0.098
0.023036,-4.5234e-12,7.5899e-06,1.0469,1,0.001943,0,-0.00032384,0.098
0.023035,-3.027e-12,3.8744e-06,1.0622,1,0.002105,0,-0.00016192,0.098
0.023034,-3.2969e-12,-1.8531e-11,1.0673,1,0.0022669,0,0,0.098
0.023035,-3.3869e-12,-3.8744e-06,1.0622,1,0.0024288,0,0.00016192,0.098
0.023036,-5.4664e-12,-7.59e-06,1.0469,1,0.0025907,0,0.00032384,0.098
0.023038,-1.0323e-11,-1.0988e-05,1.0213,1,0.0027527,0,0.00048576,0.098
0.02304,-1.0535e-11,-1.3909e-05,0.98477,1,0.0029146,0,0.00064768,0.098
0.023043,-5.9593e-12,-1.6195e-05,0.93682,1,0.0030765,0,0.0008096,0.098
0.023046,-6.9313e-12,-1.7692e-05,0.87641,1,0.0032384,0,0.00097152,0.098
0.023049,-8.5378e-12,-1.8203e-05,0.80182,1,0.0034003,0,0.0011334,0.098
0.023051,-1.0198e-11,-1.7433e-05,0.71363,1,0.0035623,0,0.0012954,0.098
0.023053,-1.0112e-11,-1.5119e-05,0.60939,1,0.0037242,0,0.0014573,0.098
0.023055,-8.5192e-12,-1.1884e-05,0.50366,1,0.0038861,0,0.0016192,0.098
0.023056,-7.4738e-12,-7.8983e-06,0.39096,1,0.004048,0,0.0017811,0.098
0.023056,-5.4366e-12,-3.8132e-06,0.26991,1,0.0042099,0,0.001943,0.098
0.023056,-2.8308e-12,-9.8487e-07,0.13961,1,0.0043719,0,0.002105,0.098
0.023056,0,0,0,1,0.0045338,0,0.0022669,0.098
