"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0029183,0,0,0,1,0,0,-0.0022614,0.099999
1.1631e-05,6.319e-12,5.584e-07,0.23489,1,0.00028267,0,-0.0019787,0.099999
1.1631e-05,-2.0583e-11,1.5801e-06,0.44296,1,0.00056534,0,-0.001696,0.099999
1.1631e-05,-8.6976e-11,2.8906e-06,0.62843,1,0.00084801,0,-0.0014134,0.099999
1.1631e-05,-1.1687e-10,3.9409e-06,0.78651,1,0.0011307,0,-0.0011307,0.099999
1.1631e-05,-5.3593e-11,4.2249e-06,0.90673,1,0.0014134,0,-0.00084801,0.099999
1.1631e-05,5.0063e-11,3.5505e-06,0.989,1,0.001696,0,-0.00056534,0.099999
1.1631e-05,1.2186e-10,2.0247e-06,1.0368,1,0.0019787,0,-0.00028267,0.099999
1.1631e-05,1.4422e-10,3.9472e-11,1.0526,1,0.0022614,0,0,0.099999
1.1631e-05,1.2177e-10,-2.0247e-06,1.0368,1,0.002544,0,0.00028267,0.099999
1.1631e-05,5.0939e-11,-3.5505e-06,0.989,1,0.0028267,0,0.00056534,0.099999
1.1631e-05,-5.1292e-11,-4.2249e-06,0.90673,1,0.0031094,0,0.00084801,0.099999
1.1631e-05,-1.1495e-10,-3.9409e-06,0.78651,1,0.003392,0,0.0011307,0.099999
1.1631e-05,-8.6302e-11,-2.8907e-06,0.62843,1,0.0036747,0,0.0014134,0.099999
1.1631e-05,-2.0943e-11,-1.5801e-06,0.44296,1,0.0039574,0,0.001696,0.099999
1.1631e-05,5.6971e-12,-5.584e-07,0.23489,1,0.0042401,0,0.0019787,0.099999
0.0029183,0,0,0,1,0.0045227,0,0.0022614,0.099999
