y,U_0,U_1,U_2
-0.00220071,3.05542e-11,1.44595e-08,0.0601067
-0.00206214,6.9786e-11,4.49577e-08,0.17688
-0.00192357,7.2484e-11,7.53126e-08,0.286661
-0.00183648,6.05091e-11,9.20808e-08,0.352574
-0.0017672,3.71767e-11,1.01624e-07,0.402385
-0.00164643,-1.23511e-11,1.12643e-07,0.486258
-0.00150786,-7.04377e-11,1.15178e-07,0.577556
-0.00136929,-1.27566e-10,1.08236e-07,0.669635
-0.00119908,-2.0662e-10,9.58716e-08,0.768563
-0.00101392,-3.29991e-10,8.49672e-08,0.855698
-0.000909007,-4.24076e-10,7.98774e-08,0.900341
-0.000860727,-3.93045e-10,7.77754e-08,0.917991
-0.000752566,-1.98873e-10,7.34691e-08,0.952676
-0.000561392,1.6541e-10,6.33099e-08,1.00332
-0.000338493,3.07635e-10,4.4307e-08,1.04306
-0.000113108,1.83691e-10,1.60989e-08,1.06296
3.15958e-05,1.28538e-10,-4.56849e-09,1.06655
0.000144704,9.75301e-11,-2.07137e-08,1.06157
0.000338493,2.58344e-11,-4.43747e-08,1.04306
0.000561392,5.42133e-11,-6.33428e-08,1.00332
0.000751079,1.79811e-10,-7.34265e-08,0.953152
0.00085924,2.45298e-10,-7.77241e-08,0.918467
0.000909304,2.48913e-10,-7.98911e-08,0.900215
0.00101422,1.78849e-10,-8.49499e-08,0.855572
0.00119908,8.36069e-11,-9.58135e-08,0.768563
0.00136929,2.31789e-11,-1.08215e-07,0.669635
0.00150786,-4.90481e-12,-1.15221e-07,0.577556
0.00164643,-3.60608e-12,-1.12713e-07,0.486258
0.001785,1.86036e-11,-9.9231e-08,0.389586
0.00192357,4.32885e-11,-7.53486e-08,0.286661
0.00206214,5.56759e-11,-4.49746e-08,0.17688
