y,U_0,U_1,U_2
-0.00220071,2.45031e-11,2.79572e-06,0.0604525
-0.00206214,7.20069e-11,1.1633e-05,0.177831
-0.00194356,1.08349e-10,2.46069e-05,0.272662
-0.00187428,1.27099e-10,3.43506e-05,0.325939
-0.001785,1.50011e-10,4.95662e-05,0.391176
-0.00164643,1.8564e-10,7.59783e-05,0.487835
-0.00150786,2.26273e-10,0.000104528,0.578867
-0.00136929,2.49557e-10,0.000134564,0.670353
-0.00119908,2.12864e-10,0.000163878,0.768234
-0.000997691,1.27474e-10,0.000182679,0.860813
-0.000892776,7.74406e-11,0.00018788,0.904612
-0.000882557,7.69705e-11,0.000187727,0.90827
-0.000774396,1.07778e-10,0.000180745,0.942057
-0.000561392,1.68554e-10,0.000154372,0.998043
-0.000338493,1.75085e-10,0.000104057,1.0364
-0.000113108,1.4375e-10,3.67529e-05,1.05553
0.000113108,1.12468e-10,-3.67526e-05,1.05553
0.000245296,8.10577e-11,-7.86973e-05,1.04831
0.000357573,4.35262e-11,-0.000109248,1.03396
0.000561392,1.00467e-10,-0.000154372,0.998043
0.000724794,2.248e-10,-0.000177543,0.957552
0.000832955,2.99067e-10,-0.000184525,0.923765
0.000930964,3.19362e-10,-0.000185986,0.888669
0.00103588,2.75717e-10,-0.000180786,0.84487
0.00119908,2.31068e-10,-0.000163877,0.768234
0.00136929,2.00547e-10,-0.000134563,0.670353
0.00150786,1.75013e-10,-0.000104528,0.578867
0.00164643,1.45013e-10,-7.59783e-05,0.487835
0.001785,1.15634e-10,-4.95661e-05,0.391176
0.00192357,9.25047e-11,-2.74182e-05,0.288034
0.00206214,7.25031e-11,-1.1633e-05,0.177831
