y,U_0,U_1,U_2
-0.00220071,1.56251e-13,1.80524e-07,0.0600972
-0.00206214,2.3747e-13,7.45476e-07,0.176852
-0.00192357,1.8684e-14,1.74562e-06,0.286616
-0.00181967,-2.50037e-13,2.7514e-06,0.36461
-0.00175038,-5.00138e-13,3.53202e-06,0.414418
-0.00164643,-9.37748e-13,4.80143e-06,0.486202
-0.00150786,-1.56282e-12,6.59027e-06,0.57751
-0.00136929,-2.55598e-12,8.4676e-06,0.669613
-0.00119908,-3.92931e-12,1.02959e-05,0.768586
-0.00101928,-4.29723e-12,1.1398e-05,0.853497
-0.000914361,-3.86525e-12,1.17189e-05,0.898174
-0.000852866,-3.75575e-12,1.16538e-05,0.920642
-0.000744705,-3.74858e-12,1.12126e-05,0.955361
-0.000561392,-4.37188e-12,9.67584e-06,1.00354
-0.000338493,-5e-12,6.5206e-06,1.04332
-0.000139366,-5e-12,2.83747e-06,1.06209
-2.62579e-05,-5e-12,5.34602e-07,1.06708
0.000113108,-5e-12,-2.30287e-06,1.06325
0.000338493,-5e-12,-6.52062e-06,1.04332
0.000561392,-4.37188e-12,-9.67584e-06,1.00354
0.000758186,-3.24832e-12,-1.12676e-05,0.951033
0.000866348,-2.62643e-12,-1.17088e-05,0.916314
0.000905242,-2.53045e-12,-1.17468e-05,0.902057
0.00101016,-2.71941e-12,-1.14259e-05,0.85738
0.00119908,-2.11387e-12,-1.02959e-05,0.768586
0.00136929,-4.24899e-13,-8.4676e-06,0.669613
0.00150786,6.24887e-13,-6.59027e-06,0.57751
0.00164643,9.37342e-13,-4.80143e-06,0.486202
0.001785,1.12499e-12,-3.14197e-06,0.38953
0.00192357,9.93811e-13,-1.74563e-06,0.286616
0.00206214,6.68806e-13,-7.45477e-07,0.176852
