"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16315,0,0,0,1,0,0,-0.0022614,0.086
0.16315,-2.9268e-10,1.4811e-06,0.2346,1,0.00028267,0,-0.0019787,0.086
0.16315,-4.9529e-10,4.4457e-06,0.44243,1,0.00056534,0,-0.001696,0.086
0.16315,-2.8561e-10,8.3444e-06,0.6293,1,0.00084801,0,-0.0014134,0.086
0.16315,3.1454e-10,1.145e-05,0.78897,1,0.0011307,0,-0.0011307,0.086
0.16315,8.0034e-10,1.2239e-05,0.90832,1,0.0014134,0,-0.00084801,0.086
0.16315,9.9397e-10,1.0254e-05,0.9895,1,0.001696,0,-0.00056534,0.086
0.16315,1.0146e-09,5.8383e-06,1.0368,1,0.0019787,0,-0.00028267,0.086
0.16315,9.7805e-10,4.5782e-10,1.0523,1,0.0022614,0,0,0.086
0.16315,9.2671e-10,-5.8374e-06,1.0368,1,0.002544,0,0.00028267,0.086
0.16315,8.4678e-10,-1.0254e-05,0.9895,1,0.0028267,0,0.00056534,0.086
0.16315,6.605e-10,-1.2239e-05,0.90832,1,0.0031094,0,0.00084801,0.086
0.16315,2.936e-10,-1.1449e-05,0.78897,1,0.003392,0,0.0011307,0.086
0.16315,-1.3786e-10,-8.3441e-06,0.6293,1,0.0036747,0,0.0014134,0.086
0.16315,-3.1574e-10,-4.4455e-06,0.44243,1,0.0039574,0,0.001696,0.086
0.16315,-2.0529e-10,-1.4811e-06,0.2346,1,0.0042401,0,0.0019787,0.086
0.16315,0,0,0,1,0.0045227,0,0.0022614,0.086
