y,U_0,U_1,U_2
-0.00214072,-6.96142e-13,2.60096e-07,0.108482
-0.00189942,1.14222e-12,1.42673e-06,0.302733
-0.00165813,1.32684e-12,3.63435e-06,0.476115
-0.00141684,-7.19845e-12,6.28274e-06,0.632446
-0.00116113,-2.57195e-11,8.83085e-06,0.787896
-0.000884355,-3.71499e-11,9.82947e-06,0.910998
-0.000596066,-2.75905e-11,8.59843e-06,0.999115
-0.000299995,-1.15614e-11,5.05454e-06,1.05226
0,-4.7483e-12,8.86965e-12,1.07008
0.000299995,-1.12793e-11,-5.05453e-06,1.05226
0.000596066,-2.72023e-11,-8.59842e-06,0.999115
0.000884355,-3.6163e-11,-9.82947e-06,0.910998
0.00116113,-2.60863e-11,-8.83085e-06,0.787896
0.00141684,-8.20435e-12,-6.28274e-06,0.632446
0.00165813,1.03897e-12,-3.63435e-06,0.476115
0.00189942,1.32378e-12,-1.42674e-06,0.302733
0.00214072,-3.01007e-13,-2.60097e-07,0.108482
