y,U_0,U_1,U_2
-0.00214072,1.84668e-12,2.69549e-08,0.108449
-0.00189942,4.21366e-12,1.47839e-07,0.302659
-0.00165813,6.1814e-12,3.76562e-07,0.476032
-0.00141684,8.16052e-12,6.50935e-07,0.632393
-0.00116113,1.02323e-11,9.14899e-07,0.787923
-0.000884355,1.08493e-11,1.01834e-06,0.911138
-0.000596066,1.15419e-11,8.90797e-07,0.999379
-0.000299995,1.1288e-11,5.23653e-07,1.05263
1.35525e-20,1.12587e-11,3.23726e-12,1.07048
0.000299995,1.13731e-11,-5.23647e-07,1.05263
0.000596066,1.15316e-11,-8.9079e-07,0.999379
0.000884355,1.16523e-11,-1.01833e-06,0.911138
0.00116113,1.02229e-11,-9.14897e-07,0.787923
0.00141684,7.78338e-12,-6.50934e-07,0.632393
0.00165813,6.24209e-12,-3.76562e-07,0.476032
0.00189942,4.52988e-12,-1.47837e-07,0.302659
0.00214072,2.25766e-12,-2.69542e-08,0.108449
