"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.059098,0,0,0,1,0,0,-0.0022614,0.045
0.059098,-2.1309e-15,4.6244e-07,0.0038414,1,4.5227e-06,0,-0.0022568,0.045
0.059098,-4.2618e-15,9.2488e-07,0.0076828,1,9.0455e-06,0,-0.0022523,0.045
0.059098,-6.3928e-15,1.3873e-06,0.011524,1,1.3568e-05,0,-0.0022478,0.045
0.059098,-8.5237e-15,1.8498e-06,0.015366,1,1.8091e-05,0,-0.0022433,0.045
0.059098,-1.0655e-14,2.3122e-06,0.019207,1,2.2614e-05,0,-0.0022387,0.045
0.059098,-1.2786e-14,2.7746e-06,0.023048,1,2.7136e-05,0,-0.0022342,0.045
0.059098,-1.4916e-14,3.2371e-06,0.02689,1,3.1659e-05,0,-0.0022297,0.045
0.059098,-1.7047e-14,3.6995e-06,0.030731,1,3.6182e-05,0,-0.0022252,0.045
0.059098,-1.9178e-14,4.1619e-06,0.034573,1,4.0705e-05,0,-0.0022207,0.045
0.059098,-2.1309e-14,4.6244e-06,0.038414,1,4.5227e-05,0,-0.0022161,0.045
0.059098,-2.344e-14,5.0868e-06,0.042255,1,4.975e-05,0,-0.0022116,0.045
0.059098,-2.5571e-14,5.5492e-06,0.046097,1,5.4273e-05,0,-0.0022071,0.045
0.059098,-2.7702e-14,6.0117e-06,0.049938,1,5.8795e-05,0,-0.0022026,0.045
0.059098,-2.9833e-14,6.4741e-06,0.053779,1,6.3318e-05,0,-0.002198,0.045
0.059098,-3.1964e-14,6.9366e-06,0.057621,1,6.7841e-05,0,-0.0021935,0.045
0.059098,-3.4095e-14,7.399e-06,0.061462,1,7.2364e-05,0,-0.002189,0.045
0.059098,-3.6226e-14,7.8614e-06,0.065304,1,7.6886e-05,0,-0.0021845,0.045
0.059098,-3.8356e-14,8.3239e-06,0.069145,1,8.1409e-05,0,-0.00218,0.045
0.059098,-4.0487e-14,8.7863e-06,0.072986,1,8.5932e-05,0,-0.0021754,0.045
0.059098,-4.2618e-14,9.2487e-06,0.076828,1,9.0454e-05,0,-0.0021709,0.045
0.059098,-4.4749e-14,9.7112e-06,0.080669,1,9.4977e-05,0,-0.0021664,0.045
0.059099,-4.688e-14,1.0174e-05,0.084511,1,9.95e-05,0,-0.0021619,0.045
0.059099,-4.9011e-14,1.0636e-05,0.088352,1,0.00010402,0,-0.0021573,0.045
0.059099,-5.1142e-14,1.1098e-05,0.092194,1,0.00010855,0,-0.0021528,0.045
0.059099,-5.3273e-14,1.1561e-05,0.096035,1,0.00011307,0,-0.0021483,0.045
0.059099,-5.5404e-14,1.2023e-05,0.099876,1,0.00011759,0,-0.0021438,0.045
0.059099,-5.7535e-14,1.2486e-05,0.10372,1,0.00012211,0,-0.0021392,0.045
0.059099,-5.9666e-14,1.2948e-05,0.10756,1,0.00012664,0,-0.0021347,0.045
0.059099,-6.1797e-14,1.3411e-05,0.1114,1,0.00013116,0,-0.0021302,0.045
0.059099,-6.3927e-14,1.3873e-05,0.11524,1,0.00013568,0,-0.0021257,0.045
0.059099,-6.6058e-14,1.4336e-05,0.11908,1,0.0001402,0,-0.0021212,0.045
0.059099,-6.8189e-14,1.4798e-05,0.12292,1,0.00014473,0,-0.0021166,0.045
0.059099,-7.032e-14,1.526e-05,0.12677,1,0.00014925,0,-0.0021121,0.045
0.059099,-7.2451e-14,1.5723e-05,0.13061,1,0.00015377,0,-0.0021076,0.045
0.059099,-7.4582e-14,1.6185e-05,0.13445,1,0.0001583,0,-0.0021031,0.045
0.059099,-7.6713e-14,1.6648e-05,0.13829,1,0.00016282,0,-0.0020985,0.045
0.059099,-7.8844e-14,1.711e-05,0.14213,1,0.00016734,0,-0.002094,0.045
0.059099,-8.0975e-14,1.7573e-05,0.14597,1,0.00017186,0,-0.0020895,0.045
0.059099,-8.3106e-14,1.8035e-05,0.14981,1,0.00017639,0,-0.002085,0.045
0.059099,-8.5237e-14,1.8497e-05,0.15366,1,0.00018091,0,-0.0020805,0.045
0.059099,-8.7367e-14,1.896e-05,0.1575,1,0.00018543,0,-0.0020759,0.045
0.059099,-8.9498e-14,1.9422e-05,0.16134,1,0.00018995,0,-0.0020714,0.045
0.059099,-9.1629e-14,1.9885e-05,0.16518,1,0.00019448,0,-0.0020669,0.045
0.059099,-9.376e-14,2.0347e-05,0.16902,1,0.000199,0,-0.0020624,0.045
0.059099,-9.5891e-14,2.081e-05,0.17286,1,0.00020352,0,-0.0020578,0.045
0.059099,-9.8022e-14,2.1272e-05,0.1767,1,0.00020805,0,-0.0020533,0.045
0.059099,-1.0015e-13,2.1735e-05,0.18055,1,0.00021257,0,-0.0020488,0.045
0.059099,-1.0228e-13,2.2197e-05,0.18439,1,0.00021709,0,-0.0020443,0.045
0.059099,-1.0441e-13,2.2659e-05,0.18823,1,0.00022161,0,-0.0020397,0.045
0.059099,-1.0655e-13,2.3122e-05,0.19207,1,0.00022614,0,-0.0020352,0.045
0.059099,-1.0868e-13,2.3584e-05,0.19591,1,0.00023066,0,-0.0020307,0.045
0.059099,-1.1081e-13,2.4047e-05,0.19975,1,0.00023518,0,-0.0020262,0.045
0.059099,-1.1294e-13,2.4509e-05,0.20359,1,0.0002397,0,-0.0020217,0.045
0.059099,-1.123e-13,2.5286e-05,0.20718,1,0.00024423,0,-0.0020171,0.045
0.059099,-1.1017e-13,2.6234e-05,0.21063,1,0.00024875,0,-0.0020126,0.045
0.059099,-1.0804e-13,2.7181e-05,0.21407,1,0.00025327,0,-0.0020081,0.045
0.059099,-1.0591e-13,2.8129e-05,0.21752,1,0.0002578,0,-0.0020036,0.045
0.059099,-1.0378e-13,2.9076e-05,0.22096,1,0.00026232,0,-0.001999,0.045
0.059099,-1.0165e-13,3.0024e-05,0.22441,1,0.00026684,0,-0.0019945,0.045
0.059099,-9.9519e-14,3.0971e-05,0.22786,1,0.00027136,0,-0.00199,0.045
0.059099,-9.7388e-14,3.1919e-05,0.2313,1,0.00027589,0,-0.0019855,0.045
0.059099,-9.5257e-14,3.2867e-05,0.23475,1,0.00028041,0,-0.001981,0.045
0.059099,-9.3126e-14,3.3814e-05,0.23819,1,0.00028493,0,-0.0019764,0.045
0.059099,-9.0995e-14,3.4762e-05,0.24164,1,0.00028945,0,-0.0019719,0.045
0.0591,-8.8864e-14,3.5709e-05,0.24509,1,0.00029398,0,-0.0019674,0.045
0.0591,-8.6733e-14,3.6657e-05,0.24853,1,0.0002985,0,-0.0019629,0.045
0.0591,-8.4602e-14,3.7604e-05,0.25198,1,0.00030302,0,-0.0019583,0.045
0.0591,-8.2472e-14,3.8552e-05,0.25543,1,0.00030755,0,-0.0019538,0.045
0.0591,-8.0341e-14,3.9499e-05,0.25887,1,0.00031207,0,-0.0019493,0.045
0.0591,-7.821e-14,4.0447e-05,0.26232,1,0.00031659,0,-0.0019448,0.045
0.0591,-7.6079e-14,4.1394e-05,0.26576,1,0.00032111,0,-0.0019402,0.045
0.0591,-7.3948e-14,4.2342e-05,0.26921,1,0.00032564,0,-0.0019357,0.045
0.0591,-7.1817e-14,4.3289e-05,0.27266,1,0.00033016,0,-0.0019312,0.045
0.0591,-6.9686e-14,4.4237e-05,0.2761,1,0.00033468,0,-0.0019267,0.045
0.0591,-6.7555e-14,4.5184e-05,0.27955,1,0.0003392,0,-0.0019222,0.045
0.0591,-6.5424e-14,4.6132e-05,0.28299,1,0.00034373,0,-0.0019176,0.045
0.0591,-6.3293e-14,4.7079e-05,0.28644,1,0.00034825,0,-0.0019131,0.045
0.0591,-6.1162e-14,4.8027e-05,0.28989,1,0.00035277,0,-0.0019086,0.045
0.0591,-5.9032e-14,4.8974e-05,0.29333,1,0.0003573,0,-0.0019041,0.045
0.0591,-5.6901e-14,4.9922e-05,0.29678,1,0.00036182,0,-0.0018995,0.045
0.0591,-5.477e-14,5.0869e-05,0.30023,1,0.00036634,0,-0.001895,0.045
0.0591,-5.2639e-14,5.1817e-05,0.30367,1,0.00037086,0,-0.0018905,0.045
0.0591,-5.0508e-14,5.2765e-05,0.30712,1,0.00037539,0,-0.001886,0.045
0.0591,-4.8377e-14,5.3712e-05,0.31056,1,0.00037991,0,-0.0018815,0.045
0.0591,-4.6246e-14,5.466e-05,0.31401,1,0.00038443,0,-0.0018769,0.045
0.0591,-4.4115e-14,5.5607e-05,0.31746,1,0.00038895,0,-0.0018724,0.045
0.0591,-4.1984e-14,5.6555e-05,0.3209,1,0.00039348,0,-0.0018679,0.045
0.0591,-3.9853e-14,5.7502e-05,0.32435,1,0.000398,0,-0.0018634,0.045
0.0591,-3.7722e-14,5.845e-05,0.32779,1,0.00040252,0,-0.0018588,0.045
0.0591,-3.5591e-14,5.9397e-05,0.33124,1,0.00040705,0,-0.0018543,0.045
0.0591,-3.3461e-14,6.0345e-05,0.33469,1,0.00041157,0,-0.0018498,0.045
0.0591,-3.133e-14,6.1292e-05,0.33813,1,0.00041609,0,-0.0018453,0.045
0.0591,-2.9199e-14,6.224e-05,0.34158,1,0.00042061,0,-0.0018407,0.045
0.0591,-2.7068e-14,6.3187e-05,0.34503,1,0.00042514,0,-0.0018362,0.045
0.0591,-2.4937e-14,6.4135e-05,0.34847,1,0.00042966,0,-0.0018317,0.045
0.059101,-2.2806e-14,6.5082e-05,0.35192,1,0.00043418,0,-0.0018272,0.045
0.059101,-2.0675e-14,6.603e-05,0.35536,1,0.0004387,0,-0.0018227,0.045
0.059101,-1.8544e-14,6.6977e-05,0.35881,1,0.00044323,0,-0.0018181,0.045
0.059101,-1.6413e-14,6.7925e-05,0.36226,1,0.00044775,0,-0.0018136,0.045
0.059101,-1.4282e-14,6.8872e-05,0.3657,1,0.00045227,0,-0.0018091,0.045
0.059101,-1.2151e-14,6.982e-05,0.36915,1,0.0004568,0,-0.0018046,0.045
0.059101,-1.002e-14,7.0768e-05,0.3726,1,0.00046132,0,-0.0018,0.045
0.059101,-7.8896e-15,7.1715e-05,0.37604,1,0.00046584,0,-0.0017955,0.045
0.059101,-5.7586e-15,7.2663e-05,0.37949,1,0.00047036,0,-0.001791,0.045
0.059101,-3.6277e-15,7.361e-05,0.38293,1,0.00047489,0,-0.0017865,0.045
0.059101,-1.4968e-15,7.4558e-05,0.38638,1,0.00047941,0,-0.001782,0.045
0.059101,0,7.5633e-05,0.38971,1,0.00048393,0,-0.0017774,0.045
0.059101,0,7.701e-05,0.39278,1,0.00048845,0,-0.0017729,0.045
0.059101,0,7.8388e-05,0.39584,1,0.00049298,0,-0.0017684,0.045
0.059101,0,7.9765e-05,0.39891,1,0.0004975,0,-0.0017639,0.045
0.059101,0,8.1142e-05,0.40198,1,0.00050202,0,-0.0017593,0.045
0.059101,0,8.252e-05,0.40504,1,0.00050655,0,-0.0017548,0.045
0.059101,0,8.3897e-05,0.40811,1,0.00051107,0,-0.0017503,0.045
0.059101,0,8.5274e-05,0.41117,1,0.00051559,0,-0.0017458,0.045
0.059101,0,8.6652e-05,0.41424,1,0.00052011,0,-0.0017412,0.045
0.059101,0,8.8029e-05,0.4173,1,0.00052464,0,-0.0017367,0.045
0.059101,0,8.9407e-05,0.42037,1,0.00052916,0,-0.0017322,0.045
0.059101,0,9.0784e-05,0.42343,1,0.00053368,0,-0.0017277,0.045
0.059101,0,9.2161e-05,0.4265,1,0.0005382,0,-0.0017232,0.045
0.059101,0,9.3539e-05,0.42956,1,0.00054273,0,-0.0017186,0.045
0.059101,0,9.4916e-05,0.43263,1,0.00054725,0,-0.0017141,0.045
0.059101,0,9.6293e-05,0.4357,1,0.00055177,0,-0.0017096,0.045
0.059101,0,9.7671e-05,0.43876,1,0.0005563,0,-0.0017051,0.045
0.059101,0,9.9048e-05,0.44183,1,0.00056082,0,-0.0017005,0.045
0.059101,0,0.00010043,0.44489,1,0.00056534,0,-0.001696,0.045
0.059101,0,0.0001018,0.44796,1,0.00056986,0,-0.0016915,0.045
0.059101,0,0.00010318,0.45102,1,0.00057439,0,-0.001687,0.045
0.059101,0,0.00010456,0.45409,1,0.00057891,0,-0.0016825,0.045
0.059101,0,0.00010593,0.45715,1,0.00058343,0,-0.0016779,0.045
0.059101,0,0.00010731,0.46022,1,0.00058795,0,-0.0016734,0.045
0.059101,0,0.00010869,0.46329,1,0.00059248,0,-0.0016689,0.045
0.059101,0,0.00011007,0.46635,1,0.000597,0,-0.0016644,0.045
0.059101,0,0.00011144,0.46942,1,0.00060152,0,-0.0016598,0.045
0.059101,0,0.00011282,0.47248,1,0.00060605,0,-0.0016553,0.045
0.059101,0,0.0001142,0.47555,1,0.00061057,0,-0.0016508,0.045
0.059101,0,0.00011558,0.47861,1,0.00061509,0,-0.0016463,0.045
0.059101,0,0.00011695,0.48168,1,0.00061961,0,-0.0016417,0.045
0.059101,0,0.00011833,0.48474,1,0.00062414,0,-0.0016372,0.045
0.059101,0,0.00011971,0.48781,1,0.00062866,0,-0.0016327,0.045
0.059101,0,0.00012109,0.49088,1,0.00063318,0,-0.0016282,0.045
0.059101,0,0.00012246,0.49394,1,0.0006377,0,-0.0016237,0.045
0.059101,0,0.00012384,0.49701,1,0.00064223,0,-0.0016191,0.045
0.059101,0,0.00012522,0.50007,1,0.00064675,0,-0.0016146,0.045
0.059101,0,0.0001266,0.50314,1,0.00065127,0,-0.0016101,0.045
0.059101,0,0.00012797,0.5062,1,0.00065579,0,-0.0016056,0.045
0.059101,0,0.00012935,0.50927,1,0.00066032,0,-0.001601,0.045
0.059102,0,0.00013073,0.51233,1,0.00066484,0,-0.0015965,0.045
0.059102,0,0.0001321,0.5154,1,0.00066936,0,-0.001592,0.045
0.059102,0,0.00013348,0.51847,1,0.00067389,0,-0.0015875,0.045
0.059102,0,0.00013486,0.52153,1,0.00067841,0,-0.001583,0.045
0.059102,0,0.00013624,0.5246,1,0.00068293,0,-0.0015784,0.045
0.059102,0,0.00013761,0.52766,1,0.00068745,0,-0.0015739,0.045
0.059102,0,0.00013899,0.53073,1,0.00069198,0,-0.0015694,0.045
0.059102,0,0.00014037,0.53379,1,0.0006965,0,-0.0015649,0.045
0.059102,0,0.00014175,0.53686,1,0.00070102,0,-0.0015603,0.045
0.059102,0,0.00014312,0.53992,1,0.00070554,0,-0.0015558,0.045
0.059102,0,0.0001445,0.54299,1,0.00071007,0,-0.0015513,0.045
0.059102,0,0.00014588,0.54606,1,0.00071459,0,-0.0015468,0.045
0.059102,0,0.00014726,0.54912,1,0.00071911,0,-0.0015422,0.045
0.059102,0,0.00014863,0.55219,1,0.00072364,0,-0.0015377,0.045
0.059102,1.1293e-13,0.00015009,0.55505,1,0.00072816,0,-0.0015332,0.045
0.059102,2.3226e-13,0.00015156,0.55791,1,0.00073268,0,-0.0015287,0.045
0.059102,3.5159e-13,0.00015303,0.56076,1,0.0007372,0,-0.0015242,0.045
0.059102,4.7092e-13,0.00015449,0.56362,1,0.00074173,0,-0.0015196,0.045
0.059102,5.9026e-13,0.00015596,0.56647,1,0.00074625,0,-0.0015151,0.045
0.059102,7.0959e-13,0.00015743,0.56933,1,0.00075077,0,-0.0015106,0.045
0.059102,8.2892e-13,0.00015889,0.57218,1,0.00075529,0,-0.0015061,0.045
0.059102,9.4825e-13,0.00016036,0.57504,1,0.00075982,0,-0.0015015,0.045
0.059102,1.0676e-12,0.00016183,0.57789,1,0.00076434,0,-0.001497,0.045
0.059102,1.1869e-12,0.00016329,0.58074,1,0.00076886,0,-0.0014925,0.045
0.059102,1.3062e-12,0.00016476,0.5836,1,0.00077339,0,-0.001488,0.045
0.059102,1.4256e-12,0.00016622,0.58645,1,0.00077791,0,-0.0014835,0.045
0.059102,1.5449e-12,0.00016769,0.58931,1,0.00078243,0,-0.0014789,0.045
0.059102,1.6642e-12,0.00016916,0.59216,1,0.00078695,0,-0.0014744,0.045
0.059102,1.7836e-12,0.00017062,0.59502,1,0.00079148,0,-0.0014699,0.045
0.059102,1.9029e-12,0.00017209,0.59787,1,0.000796,0,-0.0014654,0.045
0.059102,2.0222e-12,0.00017356,0.60073,1,0.00080052,0,-0.0014608,0.045
0.059102,2.1416e-12,0.00017502,0.60358,1,0.00080504,0,-0.0014563,0.045
0.059102,2.2609e-12,0.00017649,0.60644,1,0.00080957,0,-0.0014518,0.045
0.059102,2.3802e-12,0.00017796,0.60929,1,0.00081409,0,-0.0014473,0.045
0.059102,2.4996e-12,0.00017942,0.61215,1,0.00081861,0,-0.0014427,0.045
0.059102,2.6189e-12,0.00018089,0.615,1,0.00082314,0,-0.0014382,0.045
0.059102,2.7382e-12,0.00018236,0.61786,1,0.00082766,0,-0.0014337,0.045
0.059102,2.8575e-12,0.00018382,0.62071,1,0.00083218,0,-0.0014292,0.045
0.059102,2.9769e-12,0.00018529,0.62356,1,0.0008367,0,-0.0014247,0.045
0.059102,3.0962e-12,0.00018675,0.62642,1,0.00084123,0,-0.0014201,0.045
0.059102,3.2155e-12,0.00018822,0.62927,1,0.00084575,0,-0.0014156,0.045
0.059102,3.3349e-12,0.00018969,0.63213,1,0.00085027,0,-0.0014111,0.045
0.059102,3.4542e-12,0.00019115,0.63498,1,0.00085479,0,-0.0014066,0.045
0.059102,3.5735e-12,0.00019262,0.63784,1,0.00085932,0,-0.001402,0.045
0.059102,3.6929e-12,0.00019409,0.64069,1,0.00086384,0,-0.0013975,0.045
0.059102,3.8122e-12,0.00019555,0.64355,1,0.00086836,0,-0.001393,0.045
0.059102,3.9315e-12,0.00019702,0.6464,1,0.00087289,0,-0.0013885,0.045
0.059102,4.0509e-12,0.00019849,0.64926,1,0.00087741,0,-0.001384,0.045
0.059102,4.1702e-12,0.00019995,0.65211,1,0.00088193,0,-0.0013794,0.045
0.059102,4.2895e-12,0.00020142,0.65497,1,0.00088645,0,-0.0013749,0.045
0.059102,4.4089e-12,0.00020289,0.65782,1,0.00089098,0,-0.0013704,0.045
0.059102,4.5282e-12,0.00020435,0.66067,1,0.0008955,0,-0.0013659,0.045
0.059102,4.6475e-12,0.00020582,0.66353,1,0.00090002,0,-0.0013613,0.045
0.059102,4.7668e-12,0.00020728,0.66638,1,0.00090454,0,-0.0013568,0.045
