"p","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.059109,0,0,0,1,0,0,-0.0022669,0.045
0.059109,2.9158e-13,2.7473e-07,0.0039811,1,4.5337e-06,0,-0.0022624,0.045
0.059109,5.8317e-13,5.4947e-07,0.0079623,1,9.0676e-06,0,-0.0022578,0.045
0.059109,8.7474e-13,8.242e-07,0.011943,1,1.3601e-05,0,-0.0022533,0.045
0.059109,1.1663e-12,1.0989e-06,0.015925,1,1.8135e-05,0,-0.0022488,0.045
0.059109,1.4579e-12,1.3737e-06,0.019906,1,2.2669e-05,0,-0.0022442,0.045
0.059109,1.7495e-12,1.6484e-06,0.023887,1,2.7203e-05,0,-0.0022397,0.045
0.059109,2.0411e-12,1.9232e-06,0.027868,1,3.1736e-05,0,-0.0022352,0.045
0.059109,2.3327e-12,2.1979e-06,0.031849,1,3.627e-05,0,-0.0022306,0.045
0.059109,2.6242e-12,2.4726e-06,0.03583,1,4.0804e-05,0,-0.0022261,0.045
0.059109,2.9158e-12,2.7474e-06,0.039812,1,4.5338e-05,0,-0.0022216,0.045
0.059109,3.2074e-12,3.0221e-06,0.043793,1,4.9872e-05,0,-0.002217,0.045
0.059109,3.499e-12,3.2968e-06,0.047774,1,5.4405e-05,0,-0.0022125,0.045
0.05911,3.7906e-12,3.5716e-06,0.051755,1,5.8939e-05,0,-0.0022079,0.045
0.05911,4.0822e-12,3.8463e-06,0.055736,1,6.3473e-05,0,-0.0022034,0.045
0.05911,4.3737e-12,4.121e-06,0.059717,1,6.8007e-05,0,-0.0021989,0.045
0.05911,4.6653e-12,4.3958e-06,0.063699,1,7.254e-05,0,-0.0021943,0.045
0.05911,4.9569e-12,4.6705e-06,0.06768,1,7.7074e-05,0,-0.0021898,0.045
0.05911,5.2485e-12,4.9453e-06,0.071661,1,8.1608e-05,0,-0.0021853,0.045
0.05911,5.5401e-12,5.22e-06,0.075642,1,8.6142e-05,0,-0.0021807,0.045
0.05911,5.8316e-12,5.4947e-06,0.079623,1,9.0676e-05,0,-0.0021762,0.045
0.05911,6.1232e-12,5.7695e-06,0.083604,1,9.5209e-05,0,-0.0021717,0.045
